Abbreviation	Equation	Lower	Upper	Present	Synthetic objective	GeneAssociation	Knockout cost	Knockin cost
HETZK	[c] : 4mhetz + atp --> 4mpetz + adp + h			1	0	((b2104))	1	1
HEX1	[c] : atp + glc-D --> adp + g6p + h			1	0	((b2388))	1	1
HEX4	[c] : atp + man --> adp + h + man6p			1	0		0	0
HEX7	[c] : atp + fru --> adp + f6p + h			1	0	((b0394))	1	1
HEXt2rpp	h[p] + hxa[p] <==> h[c] + hxa[c]			1	0	((b2223))	1	1
HG2abcpp	atp[c] + h2o[c] + hg2[c] --> adp[c] + h[c] + hg2[p] + pi[c]			1	0	((b3469))	1	1
HG2t3pp	h[p] + hg2[c] --> h[c] + hg2[p]			1	0	((b3915))	1	1
HG2tex	hg2[e] <==> hg2[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
HISabcpp	atp[c] + h2o[c] + his-L[p] --> adp[c] + h[c] + his-L[c] + pi[c]			1	0	((((b2306_AND_b2307_AND_b2308_AND_b2309))))	1	4
HISt2rpp	h[p] + his-L[p] <==> h[c] + his-L[c]			1	0	((b0112))	1	1
HISTD	[c] : h2o + histd + (2) nad --> (3) h + his-L + (2) nadh			1	0	((b2020))	1	1
HIStex	his-L[e] <==> his-L[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
HISTP	[c] : h2o + hisp --> histd + pi			1	0	((b2022))	1	1
HISTRS	[c] : atp + his-L + trnahis --> amp + histrna + ppi			1	0	((b2514))	1	1
HKNDDH	[c] : h2o + hkndd --> h + op4en + succ			1	0	((b0349))	1	1
HKNTDH	[c] : h2o + hkntd --> fum + h + op4en			1	0	((b0349))	1	1
HMBS	[c] : h2o + (4) ppbng --> hmbil + (4) nh4			1	0	((b3805))	1	1
HMPK1	[c] : 4ahmmp + atp --> 4ampm + adp + h			1	0	((((b2103)_OR_(b2418))))	2	1
HOMt2pp	h[p] + hom-L[c] --> h[c] + hom-L[p]			1	0	((((b0813)_OR_(b3824))))	2	1
HOMtex	hom-L[e] <==> hom-L[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
HOPNTAL	[c] : 4h2opntn --> acald + pyr			1	0	((b0352))	1	1
