Abbreviation	Equation	Lower	Upper	Present	Synthetic objective	GeneAssociation	Knockout cost	Knockin cost
LPLIPAL2G161	[c] : 2agpg161 + h2o --> g3pg + h + hdcea			1	0	((b3825))	1	1
LPLIPAL2G180	[c] : 2agpg180 + h2o --> g3pg + h + ocdca			1	0	((b3825))	1	1
LPLIPAL2G181	[c] : 2agpg181 + h2o --> g3pg + h + ocdcea			1	0	((b3825))	1	1
LSERDHr	[c] : nadp + ser-L <==> 2amsa + h + nadph			1	0	((b1539))	1	1
LYSabcpp	atp[c] + h2o[c] + lys-L[p] --> adp[c] + h[c] + lys-L[c] + pi[c]			1	0	((((b2306_AND_b2307_AND_b2308_AND_b2310))))	1	4
LYSDC	[c] : h + lys-L --> 15dap + co2			1	0	((((b0186)_OR_(b4131))))	2	1
LYSt2pp	h[p] + lys-L[p] --> h[c] + lys-L[c]			1	0	((b2156))	1	1
LYSt3pp	h[p] + lys-L[c] --> h[c] + lys-L[p]			1	0	((b2923))	1	1
LYStex	lys-L[e] <==> lys-L[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
LYSTRS	[c] : atp + lys-L + trnalys --> amp + lystrna + ppi			1	0	((((b2890)_OR_(b4129))))	2	1
LYXI	[c] : lyx-L --> xylu-L			1	0	((b3903))	1	1
LYXt2pp	h[p] + lyx-L[p] --> h[c] + lyx-L[c]			1	0	((b3907))	1	1
LYXtex	lyx-L[e] <==> lyx-L[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
M1PD	[c] : mnl1p + nad <==> f6p + h + nadh			1	0	((b3600))	1	1
MACPD	[c] : h + malACP --> acACP + co2			1	0	((b2323))	1	1
MALDDH	[c] : mal-D + nad --> co2 + nadh + pyr			1	0	((b1800))	1	1
MALDt2_2pp	(2) h[p] + mal-D[p] --> (2) h[c] + mal-D[c]			1	0	((b3528))	1	1
MALDtex	mal-D[e] <==> mal-D[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
MALS	[c] : accoa + glx + h2o --> coa + h + mal-L			1	0	((((b2976)_OR_(b4014))))	2	1
MALt2_2pp	(2) h[p] + mal-L[p] --> (2) h[c] + mal-L[c]			1	0	((b3528))	1	1
MALt2_3pp	(3) h[p] + mal-L[p] --> (3) h[c] + mal-L[c]			1	0	((((b4123)_OR_(b4138))))	2	1
MALTabcpp	atp[c] + h2o[c] + malt[p] --> adp[c] + h[c] + malt[c] + pi[c]			1	0	((((b4032_AND_b4033_AND_b4034_AND_b4035))))	1	4
MALTATr	[c] : accoa + malt <==> acmalt + coa			1	0	((b0459))	1	1
MALtex	mal-L[e] <==> mal-L[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
MALTHXabcpp	atp[c] + h2o[c] + malthx[p] --> adp[c] + h[c] + malthx[c] + pi[c]			1	0	((((b4032_AND_b4033_AND_b4034_AND_b4035))))	1	4
MALTHXtexi	malthx[e] --> malthx[p]			1	0	((b4036))	1	1
MALTPTabcpp	atp[c] + h2o[c] + maltpt[p] --> adp[c] + h[c] + maltpt[c] + pi[c]			1	0	((((b4032_AND_b4033_AND_b4034_AND_b4035))))	1	4
MALTptspp	malt[p] + pep[c] --> malt6p[c] + pyr[c]			1	0	((((b1621_AND_b2415_AND_b2416_AND_b2417))))	1	4
MALTPTtexi	maltpt[e] --> maltpt[p]			1	0	((b4036))	1	1
MALTtexi	malt[e] --> malt[p]			1	0	((b4036))	1	1
MALTTRabcpp	atp[c] + h2o[c] + malttr[p] --> adp[c] + h[c] + malttr[c] + pi[c]			1	0	((((b4032_AND_b4033_AND_b4034_AND_b4035))))	1	4
MALTTRtexi	malttr[e] --> malttr[p]			1	0	((b4036))	1	1
MALTTTRabcpp	atp[c] + h2o[c] + maltttr[p] --> adp[c] + h[c] + maltttr[c] + pi[c]			1	0	((((b4032_AND_b4033_AND_b4034_AND_b4035))))	1	4
MALTTTRtexi	maltttr[e] --> maltttr[p]			1	0	((b4036))	1	1
MAN1PT2	[c] : gdp + h + man1p --> gdpmann + pi			1	0	((b2049))	1	1
MAN6PI	[c] : man6p <==> f6p			1	0	((b1613))	1	1
MAN6Pt6_2pp	man6p[p] + (2) pi[c] --> man6p[c] + (2) pi[p]			1	0	((b3666))	1	1
MAN6Ptex	man6p[e] <==> man6p[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
MANAO	[c] : mana + nad <==> fruur + h + nadh			1	0	((b4323))	1	1
MANGLYCptspp	manglyc[p] + pep[c] --> man6pglyc[c] + pyr[c]			1	0	((((b0731_AND_b2415_AND_b2416))))	1	3
MANGLYCtex	manglyc[e] <==> manglyc[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
MANPGH	[c] : h2o + man6pglyc --> glyc-R + man6p			1	0	((b0732))	1	1
MANptspp	man[p] + pep[c] --> man6p[c] + pyr[c]			1	0	((((b1817_AND_b1818_AND_b1819_AND_b2415_AND_b2416))))	1	5
MANtex	man[e] <==> man[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
MCITD	[c] : 2mcit --> 2mcacn + h2o			1	0	((b0334))	1	1
MCITL2	[c] : micit <==> pyr + succ			1	0	((b0331))	1	1
MCITS	[c] : h2o + oaa + ppcoa --> 2mcit + coa + h			1	0	((b0333))	1	1
MCOATA	[c] : ACP + malcoa <==> coa + malACP			1	0	((((b1092_AND_b1094))))	1	2
MCPST	[c] : cyan + mercppyr --> h + pyr + tcynt			1	0	((b2521))	1	1
MCTP1App	[p] : murein5p5p --> ala-D + murein5px4p			1	0	((((b0084)_OR_(b0149)_OR_(b0635)_OR_(b3396))))	4	1
MCTP1Bpp	[p] : murein5p5p --> alaala + murein5px3p			1	0	((((b0149)_OR_(b3396))))	2	1
MCTP2App	[p] : murein5p5p5p --> (2) ala-D + murein5px4px4p			1	0	((((b0084)_OR_(b0149)_OR_(b0635)_OR_(b3396))))	4	1
MDDCP1pp	[p] : h2o + murein5px4p --> ala-D + murein4px4p			1	0	((((b0632)_OR_(b0839)_OR_(b2010)_OR_(b3182))))	4	1
MDDCP2pp	[p] : h2o + murein5px4px4p --> ala-D + murein4px4px4p			1	0	((((b0632)_OR_(b0839)_OR_(b2010)_OR_(b3182))))	4	1
MDDCP3pp	[p] : h2o + murein5p5p --> ala-D + murein5p4p			1	0	((((b0632)_OR_(b0839)_OR_(b2010)_OR_(b3182))))	4	1
MDDCP4pp	[p] : h2o + murein5p4p --> ala-D + murein4p4p			1	0	((((b0632)_OR_(b0839)_OR_(b2010)_OR_(b3182))))	4	1
MDDCP5pp	[p] : h2o + murein5p3p --> ala-D + murein4p3p			1	0	((((b0632)_OR_(b0839)_OR_(b2010)_OR_(b3182))))	4	1
MDDEP1pp	[p] : h2o + murein4px4p --> murein4p4p			1	0	((((b2134)_OR_(b2328)_OR_(b3182))))	3	1
MDDEP2pp	[p] : h2o + murein3px4p --> murein4p3p			1	0	((((b2134)_OR_(b2328)_OR_(b3182))))	3	1
MDDEP3pp	[p] : h2o + murein5px4p --> murein5p4p			1	0	((((b2134)_OR_(b2328)_OR_(b3182))))	3	1
MDDEP4pp	[p] : h2o + murein4px4px4p --> murein4px4p4p			1	0	((((b2134)_OR_(b2328)_OR_(b3182))))	3	1
MDH	[c] : mal-L + nad <==> h + nadh + oaa			1	0	((b3236))	1	1
MDH2	[c] : mal-L + q8 --> oaa + q8h2			1	0	((b2210))	1	1
MDH3	[c] : mal-L + mqn8 --> mql8 + oaa			1	0	((b2210))	1	1
MDRPD	[c] : 5mdru1p --> dkmpp + h2o			1	0		0	0
ME1	[c] : mal-L + nad --> co2 + nadh + pyr			1	0	((b1479))	1	1
ME2	[c] : mal-L + nadp --> co2 + nadph + pyr			1	0	((b2463))	1	1
MECDPDH2	[c] : 2mecdp + nadh --> h2mb4p + h2o + nad			1	0	((b2515))	1	1
MECDPS	[c] : 2p4c2me --> 2mecdp + cmp			1	0	((b2746))	1	1
MELIBt2pp	h[p] + melib[p] --> h[c] + melib[c]			1	0	((b4120))	1	1
MELIBt3ipp	h[p] + melib[c] --> h[c] + melib[p]			1	0	((b1528))	1	1
MELIBtex	melib[e] <==> melib[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
MEPCT	[c] : 2me4p + ctp + h --> 4c2me + ppi			1	0	((b2747))	1	1
METabcpp	atp[c] + h2o[c] + met-L[p] --> adp[c] + h[c] + met-L[c] + pi[c]			1	0	((((b0197_AND_b0198_AND_b0199))))	1	3
METAT	[c] : atp + h2o + met-L --> amet + pi + ppi			1	0	((b2942))	1	1
METDabcpp	atp[c] + h2o[c] + met-D[p] --> adp[c] + h[c] + met-D[c] + pi[c]			1	0	((((b0197_AND_b0198_AND_b0199))))	1	3
METDtex	met-D[e] <==> met-D[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
METOX1s	[c] : h2o2 + met-L --> h2o + metsox-S-L			1	0		0	0
METOX2s	[c] : h2o2 + met-L --> h2o + metsox-R-L			1	0		0	0
METS	[c] : 5mthf + hcys-L --> h + met-L + thf			1	0	((((b3829)_OR_(b4019))))	2	1
METSOX1abcpp	atp[c] + h2o[c] + metsox-S-L[p] --> adp[c] + h[c] + metsox-S-L[c] + pi[c]			1	0		0	0
METSOX1tex	metsox-S-L[e] <==> metsox-S-L[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
METSOX2abcpp	atp[c] + h2o[c] + metsox-R-L[p] --> adp[c] + h[c] + metsox-R-L[c] + pi[c]			1	0		0	0
METSOX2tex	metsox-R-L[e] <==> metsox-R-L[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
METSOXR1	[c] : metsox-S-L + trdrd --> h2o + met-L + trdox			1	0	((((((b2582_AND_b4219)))_OR_(((b3781_AND_b4219))))))	2	2
METSOXR2	[c] : metsox-R-L + trdrd --> h2o + met-L + trdox			1	0	((((((b1778_AND_b2582)))_OR_(((b1778_AND_b3781))))))	2	2
METtex	met-L[e] <==> met-L[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
METTRS	[c] : atp + met-L + trnamet --> amp + mettrna + ppi			1	0	((b2114))	1	1
MG2t3_2pp	(2) h[c] + mg2[p] <==> (2) h[p] + mg2[c]			1	0		0	0
MG2tex	mg2[e] <==> mg2[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
MG2tpp	mg2[p] --> mg2[c]			1	0	((b3816))	1	1
MG2uabcpp	atp[c] + h2o[c] + mg2[p] --> adp[c] + h[c] + mg2[c] + pi[c]			1	0	((b4242))	1	1
MGSA	[c] : dhap --> mthgxl + pi			1	0	((b0963))	1	1
MI1PP	[c] : h2o + mi1p-D --> inost + pi			1	0	((b2533))	1	1
MICITD	[c] : 2mcacn + h2o --> micit			1	0	((b0118))	1	1
MINOHPtexi	minohp[e] --> minohp[p]			1	0		0	0
MLDCP1App	[p] : h2o + murein5px4p --> alaala + murein3px4p			1	0		0	0
MLDCP1Bpp	[p] : h2o + murein4p4p --> ala-D + murein4p3p			1	0		0	0
MLDCP2App	[p] : h2o + murein5p5p --> alaala + murein5p3p			1	0		0	0
MLDCP2Bpp	[p] : h2o + murein4p3p --> ala-D + murein3p3p			1	0		0	0
MLDCP3App	[p] : h2o + murein5px3p --> alaala + murein3px3p			1	0		0	0
MLDEP1pp	[p] : h2o + murein3px3p --> murein3p3p			1	0		0	0
MLDEP2pp	[p] : h2o + murein5px3p --> murein5p3p			1	0		0	0
MLTG1	[c] : h2o + malttr --> glc-D + malt			1	0	((b0403))	1	1
MLTG2	[c] : h2o + maltttr --> glc-D + malttr			1	0	((b0403))	1	1
MLTG3	[c] : h2o + maltpt --> glc-D + maltttr			1	0	((b0403))	1	1
MLTG4	[c] : h2o + malthx --> glc-D + maltpt			1	0	((b0403))	1	1
MLTG5	[c] : h2o + malthp --> glc-D + malthx			1	0	((b0403))	1	1
MLTGY1pp	[p] : murein4p4p --> (2) anhgm4p			1	0	((((b1193)_OR_(b2701)_OR_(b2813)_OR_(b2963)_OR_(b4392))))	5	1
MLTGY2pp	[p] : murein4p3p --> anhgm3p + anhgm4p			1	0	((((b1193)_OR_(b2701)_OR_(b2813)_OR_(b2963)_OR_(b4392))))	5	1
MLTGY3pp	[p] : murein3p3p --> (2) anhgm3p			1	0	((((b1193)_OR_(b2701)_OR_(b2813)_OR_(b2963)_OR_(b4392))))	5	1
MLTGY4pp	[p] : murein4px4p4p --> anhgm4p + murein4px4p			1	0	((((b1193)_OR_(b2701)_OR_(b2813)_OR_(b2963)_OR_(b4392))))	5	1
MLTP1	[c] : maltpt + pi <==> g1p + maltttr			1	0	((b3417))	1	1
MLTP2	[c] : malthx + pi <==> g1p + maltpt			1	0	((b3417))	1	1
MLTP3	[c] : malthp + pi <==> g1p + malthx			1	0	((b3417))	1	1
MMCD	[c] : h + mmcoa-S --> co2 + ppcoa			1	0	((b2919))	1	1
MME	[c] : mmcoa-R <==> mmcoa-S			1	0		0	0
MMETt2pp	h[p] + mmet[p] --> h[c] + mmet[c]			1	0	((b0260))	1	1
MMETtex	mmet[e] <==> mmet[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
MMM2	[c] : succoa --> mmcoa-R			1	0	((b2917))	1	1
MN2t3pp	h[p] + mn2[c] --> h[c] + mn2[p]			1	0	((((b0752)_OR_(b3915))))	2	1
MN2tpp	mn2[p] --> mn2[c]			1	0	((b3040))	1	1
MN6PP	[c] : h2o + man6p --> man + pi			1	0	((b0822))	1	1
MNLptspp	mnl[p] + pep[c] --> mnl1p[c] + pyr[c]			1	0	((((b2415_AND_b2416_AND_b3599))))	1	3
MNLtex	mnl[e] <==> mnl[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
MNNH	[c] : mana --> 2ddglcn + h2o			1	0	((b4322))	1	1
MNt2pp	h[p] + mn2[p] --> h[c] + mn2[c]			1	0	((b2392))	1	1
MNtex	mn2[e] <==> mn2[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
MOAT	[c] : ckdo + lipidA --> cmp + h + kdolipid4			1	0	((b3633))	1	1
MOAT2	[c] : ckdo + kdolipid4 --> cmp + h + kdo2lipid4			1	0	((b3633))	1	1
MOAT3C	[c] : ckdo + phphhlipa --> cmp + h + kphphhlipa			1	0	((b3624))	1	1
MOBDabcpp	atp[c] + h2o[c] + mobd[p] --> adp[c] + h[c] + mobd[c] + pi[c]			1	0	((((((b0763_AND_b0764_AND_b0765)))_OR_(((b2422_AND_b2423_AND_b2424_AND_b2425)))_OR_(((b2422_AND_b2423_AND_b2424_AND_b3917))))))	3	3
MOBDtex	mobd[e] <==> mobd[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
MOHMT	[c] : 3mob + h2o + mlthf --> 2dhp + thf			1	0	((b0134))	1	1
MPTG	(2) uaagmda[c] --> (2) h[c] + murein5p5p[p] + (2) udcpdp[c]			1	0	((((b0149)_OR_(b2519)_OR_(b3396))))	3	1
MPTG2	murein5p5p[p] + uaagmda[c] --> h[c] + murein5p5p5p[p] + udcpdp[c]			1	0	((((b0149)_OR_(b2519)_OR_(b3396))))	3	1
MSO3abcpp	atp[c] + h2o[c] + mso3[p] --> adp[c] + h[c] + mso3[c] + pi[c]			1	0	((((b0933_AND_b0934_AND_b0936))))	1	3
MSO3tex	mso3[e] <==> mso3[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
MTAN	[c] : 5mta + h2o --> 5mtr + ade			1	0	((b0159))	1	1
MTHFC	[c] : h2o + methf <==> 10fthf + h			1	0	((b0529))	1	1
MTHFD	[c] : mlthf + nadp <==> methf + nadph			1	0	((b0529))	1	1
MTHFR2	[c] : (2) h + mlthf + nadh --> 5mthf + nad			1	0	((b3941))	1	1
MTRI	[c] : 5mdr1p <==> 5mdru1p			1	0		0	0
MTRK	[c] : 5mtr + atp --> 5mdr1p + adp + h			1	0		0	0
MTRPOX	[c] : Nmtrp + h2o + o2 --> fald + h2o2 + trp-L			1	0	((b1059))	1	1
N2Otex	n2o[e] <==> n2o[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
N2Otpp	n2o[p] <==> n2o[c]			1	0		0	0
NACODA	[c] : acg5sa + h2o --> ac + glu5sa			1	0	((b3957))	1	1
NACtex	nac[e] <==> nac[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
NACtpp	nac[p] --> nac[c]			1	0		0	0
NADDP	[c] : h2o + nad --> amp + (2) h + nmn			1	0	((((b2411)_OR_(b3996))))	2	1
NADH10	[c] : h + mqn8 + nadh --> mql8 + nad			1	0	((b1109))	1	1
NADH16pp	(4) h[c] + nadh[c] + q8[c] --> (3) h[p] + nad[c] + q8h2[c]			1	0	((((b2276_AND_b2277_AND_b2278_AND_b2279_AND_b2280_AND_b2281_AND_b2282_AND_b2283_AND_b2284_AND_b2285_AND_b2286_AND_b2287_AND_b2288))))	1	13
NADH17pp	(4) h[c] + mqn8[c] + nadh[c] --> (3) h[p] + mql8[c] + nad[c]			1	0	((((b2276_AND_b2277_AND_b2278_AND_b2279_AND_b2280_AND_b2281_AND_b2282_AND_b2283_AND_b2284_AND_b2285_AND_b2286_AND_b2287_AND_b2288))))	1	13
NADH18pp	2dmmq8[c] + (4) h[c] + nadh[c] --> 2dmmql8[c] + (3) h[p] + nad[c]			1	0	((((b2276_AND_b2277_AND_b2278_AND_b2279_AND_b2280_AND_b2281_AND_b2282_AND_b2283_AND_b2284_AND_b2285_AND_b2286_AND_b2287_AND_b2288))))	1	13
NADH5	[c] : h + nadh + q8 --> nad + q8h2			1	0	((b1109))	1	1
NADH9	[c] : 2dmmq8 + h + nadh --> 2dmmql8 + nad			1	0	((b1109))	1	1
NADK	[c] : atp + nad --> adp + h + nadp			1	0	((b2615))	1	1
NADN	[c] : h2o + nad --> adprib + h + ncam			1	0		0	0
NADPHQR2	[c] : h + nadph + q8 --> nadp + q8h2			1	0	((b3028))	1	1
NADPHQR3	[c] : h + mqn8 + nadph --> mql8 + nadp			1	0	((b3028))	1	1
NADPHQR4	[c] : 2dmmq8 + h + nadph --> 2dmmql8 + nadp			1	0	((b3028))	1	1
NADPPPS	[c] : h2o + nadp --> nad + pi			1	0		0	0
NADS1	[c] : atp + dnad + nh4 --> amp + h + nad + ppi			1	0	((b1740))	1	1
NADTRHD	[c] : nad + nadph --> nadh + nadp			1	0	((((((b1602_AND_b1603)))_OR_(b3962))))	2	1
NAMNPP	[c] : atp + h2o + nac + prpp --> adp + nicrnt + pi + ppi			1	0	((b0931))	1	1
NAt3_1p5pp	(3) h[p] + (2) na1[c] --> (3) h[c] + (2) na1[p]			1	0	((b1186))	1	1
NAt3_2pp	(2) h[p] + na1[c] --> (2) h[c] + na1[p]			1	0	((b0019))	1	1
NAt3pp	h[p] + na1[c] --> h[c] + na1[p]			1	0	((((b0842)_OR_(b1216))))	2	1
NAtex	na1[e] <==> na1[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
NDPK1	[c] : atp + gdp <==> adp + gtp			1	0	((((b0474)_OR_(b2518))))	2	1
NDPK2	[c] : atp + udp <==> adp + utp			1	0	((((b0474)_OR_(b2518))))	2	1
NDPK3	[c] : atp + cdp <==> adp + ctp			1	0	((((b0474)_OR_(b2518))))	2	1
NDPK4	[c] : atp + dtdp <==> adp + dttp			1	0	((((b0474)_OR_(b2518))))	2	1
NDPK5	[c] : atp + dgdp <==> adp + dgtp			1	0	((((b0474)_OR_(b2518))))	2	1
NDPK6	[c] : atp + dudp <==> adp + dutp			1	0	((((b0474)_OR_(b2518))))	2	1
NDPK7	[c] : atp + dcdp <==> adp + dctp			1	0	((((b0474)_OR_(b2518))))	2	1
NDPK8	[c] : atp + dadp <==> adp + datp			1	0	((((b0474)_OR_(b2518))))	2	1
NH4tex	nh4[e] <==> nh4[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
NH4tpp	nh4[p] <==> nh4[c]			1	0		0	0
NHFRBO	[c] : h + nadh + (2) no --> h2o + n2o + nad			1	0	((((b2710_AND_b2711))))	1	2
NI2abcpp	atp[c] + h2o[c] + ni2[c] --> adp[c] + h[c] + ni2[p] + pi[c]			1	0	((b3469))	1	1
NI2t3pp	h[p] + ni2[c] --> h[c] + ni2[p]			1	0	((((b0752)_OR_(b3915))))	2	1
NI2tex	ni2[e] <==> ni2[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
NI2tpp	ni2[p] --> ni2[c]			1	0	((b3816))	1	1
NI2uabcpp	atp[c] + h2o[c] + ni2[p] --> adp[c] + h[c] + ni2[c] + pi[c]			1	0	((((((b3476_AND_b3477_AND_b3478_AND_b3479_AND_b3480)))_OR_(b4242))))	2	1
NMNAT	[c] : atp + h + nmn --> nad + ppi			1	0	((((b0639)_OR_(b4390))))	2	1
NMNDA	[c] : h2o + nmn --> nh4 + nicrnt			1	0		0	0
NMNN	[c] : h2o + nmn --> h + ncam + r5p			1	0		0	0
NMNPtpp	nmn[p] --> nmn[c]			1	0	((b0751))	1	1
NMNt7pp	h2o[c] + nmn[p] --> h[c] + ncam[c] + r5p[c]			1	0		0	0
NMNtex	nmn[e] <==> nmn[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
NNAM	[c] : h2o + ncam --> nac + nh4			1	0	((b1768))	1	1
NNATr	[c] : atp + h + nicrnt <==> dnad + ppi			1	0	((b0639))	1	1
NNDMBRT	[c] : dmbzid + nicrnt --> 5prdmbz + h + nac			1	0	((b1991))	1	1
NNDPR	[c] : (2) h + prpp + quln --> co2 + nicrnt + ppi			1	0	((b0109))	1	1
NO2t2rpp	h[p] + no2[p] <==> h[c] + no2[c]			1	0	((((b1223)_OR_(b3367))))	2	1
NO2tex	no2[e] <==> no2[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
NO3R1bpp	no3[p] + q8h2[c] --> h2o[p] + no2[p] + q8[c]			1	0	((((((b2203_AND_b2206))_AND_b2202_AND_b2204_AND_b2205))))	1	5
NO3R1pp	(2) h[c] + no3[c] + q8h2[c] --> (2) h[p] + h2o[c] + no2[c] + q8[c]			1	0	((((((b1224_AND_b1225_AND_b1226_AND_b1227)))_OR_(((b1465_AND_b1466_AND_b1467_AND_b1468))))))	2	4
NO3R2bpp	mql8[c] + no3[p] --> h2o[p] + mqn8[c] + no2[p]			1	0	((((((b2203_AND_b2206))_AND_b2202))))	1	3
NO3R2pp	(2) h[c] + mql8[c] + no3[c] --> (2) h[p] + h2o[c] + mqn8[c] + no2[c]			1	0	((((((b1224_AND_b1225_AND_b1226_AND_b1227)))_OR_(((b1465_AND_b1466_AND_b1467_AND_b1468))))))	2	4
NO3t7pp	no2[c] + no3[p] --> no2[p] + no3[c]			1	0	((((b1223)_OR_(b1469))))	2	1
NO3tex	no3[e] <==> no3[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
NODOx	[c] : nadh + (2) no + (2) o2 --> h + nad + (2) no3			1	0	((b2552))	1	1
NODOy	[c] : nadph + (2) no + (2) o2 --> h + nadp + (2) no3			1	0	((b2552))	1	1
NOtex	no[e] <==> no[p]			1	0	((((b0241)_OR_(b0929)_OR_(b1377)_OR_(b2215))))	4	1
NOtpp	no[p] <==> no[c]			1	0		0	0
NPHS	[c] : sbzcoa --> coa + dhna			1	0	((b2262))	1	1
NTD1	[c] : dump + h2o --> duri + pi			1	0	((((b2291)_OR_(b2744)_OR_(b4374))))	3	1
NTD10	[c] : h2o + xmp --> pi + xtsn			1	0	((b2744))	1	1
NTD10pp	[p] : h2o + xmp --> pi + xtsn			1	0	((((b0480)_OR_(b4055))))	2	1
NTD11	[c] : h2o + imp --> ins + pi			1	0	((b2744))	1	1
NTD11pp	[p] : h2o + imp --> ins + pi			1	0	((((b0480)_OR_(b4055))))	2	1
NTD12	[c] : dimp + h2o --> din + pi			1	0	((((b2291)_OR_(b2744))))	2	1
NTD12pp	[p] : dimp + h2o --> din + pi			1	0	((((b0480)_OR_(b4055))))	2	1
NTD1pp	[p] : dump + h2o --> duri + pi			1	0	((((b0480)_OR_(b4055))))	2	1
NTD2	[c] : h2o + ump --> pi + uri			1	0	((((b2744)_OR_(b4374))))	2	1
NTD2pp	[p] : h2o + ump --> pi + uri			1	0	((((b0480)_OR_(b4055))))	2	1
NTD3	[c] : dcmp + h2o --> dcyt + pi			1	0	((((b2291)_OR_(b2744))))	2	1
NTD3pp	[p] : dcmp + h2o --> dcyt + pi			1	0	((((b0480)_OR_(b4055))))	2	1
NTD4	[c] : cmp + h2o --> cytd + pi			1	0	((b2744))	1	1
NTD4pp	[p] : cmp + h2o --> cytd + pi			1	0	((((b0480)_OR_(b4055))))	2	1
NTD5	[c] : dtmp + h2o --> pi + thymd			1	0	((((b2291)_OR_(b2744)_OR_(b4374))))	3	1
NTD5pp	[p] : dtmp + h2o --> pi + thymd			1	0	((((b0480)_OR_(b4055))))	2	1
NTD6	[c] : damp + h2o --> dad-2 + pi			1	0	((((b2291)_OR_(b2744))))	2	1
NTD6pp	[p] : damp + h2o --> dad-2 + pi			1	0	((((b0480)_OR_(b4055))))	2	1
NTD7	[c] : amp + h2o --> adn + pi			1	0	((b2744))	1	1
NTD7pp	[p] : amp + h2o --> adn + pi			1	0	((((b0480)_OR_(b4055))))	2	1
NTD8	[c] : dgmp + h2o --> dgsn + pi			1	0	((((b2291)_OR_(b2744))))	2	1
NTD8pp	[p] : dgmp + h2o --> dgsn + pi			1	0	((((b0480)_OR_(b4055))))	2	1
NTD9	[c] : gmp + h2o --> gsn + pi			1	0	((b2744))	1	1
NTD9pp	[p] : gmp + h2o --> gsn + pi			1	0	((((b0480)_OR_(b4055))))	2	1
NTP1	[c] : atp + h2o --> adp + h + pi			1	0	((((b0650)_OR_(b4161))))	2	1
NTP10	[c] : h2o + itp --> h + idp + pi			1	0	((((b4161)_OR_(b4394))))	2	1
NTP11	[c] : ditp + h2o --> didp + h + pi			1	0	((b4394))	1	1
NTP12	[c] : h2o + xtp --> h + pi + xdp			1	0	((b4394))	1	1
NTP3	[c] : gtp + h2o --> gdp + h + pi			1	0	((b4161))	1	1
NTP3pp	[p] : gtp + h2o --> gdp + h + pi			1	0	((b0980))	1	1
NTP5	[c] : ctp + h2o --> cdp + h + pi			1	0	((b4161))	1	1
NTPP1	[c] : dgtp + h2o --> dgmp + h + ppi			1	0	((((b0099)_OR_(b2781))))	2	1
NTPP10	[c] : ditp + h2o --> dimp + h + ppi			1	0	((b2954))	1	1
NTPP11	[c] : h2o + xtp --> h + ppi + xmp			1	0	((b2954))	1	1
NTPP2	[c] : gtp + h2o --> gmp + h + ppi			1	0	((((b0099)_OR_(b2781))))	2	1
NTPP3	[c] : dctp + h2o --> dcmp + h + ppi			1	0	((((b1759)_OR_(b2251)_OR_(b2781))))	3	1
NTPP4	[c] : ctp + h2o --> cmp + h + ppi			1	0	((((b1759)_OR_(b2781))))	2	1
NTPP5	[c] : datp + h2o --> damp + h + ppi			1	0	((((b1865)_OR_(b2781))))	2	1
NTPP6	[c] : atp + h2o --> amp + h + ppi			1	0	((b2781))	1	1
