"KO","Flux Value","Reaction Abbreviation","Reaction Name","Reaction Equation (Metabolite Abbreviation)","Reaction Equation (Metabolite Name)","Reversible","Lower Bound","Upper Bound","Biological Objective","Gene Associations","PROTEIN_ASSOCIATION","SUBSYSTEM","PROTEIN_CLASS"
"false","0.0","R_PPS","R_phosphoenolpyruvate_synthase","M_atp_c + M_h2o_c + M_pyr_c --> M_amp_c + 2 M_h_c + M_pep_c + M_pi_c","M_ATP_C10H12N5O13P3 + M_H2O_H2O + M_Pyruvate_C3H3O3 --> M_AMP_C10H12N5O7P + 2 M_H_H + M_Phosphoenolpyruvate_C3H2O6P + M_Phosphate_HO4P","false","0.0","999999.0","0.0","b1702","Ppsa","S_GlycolysisGluconeogenesis","2.7.9.2"
"false","0.0","R_PTAr","R_phosphotransacetylase","M_accoa_c + M_pi_c <==> M_actp_c + M_coa_c","M_Acetyl_CoA_C23H34N7O17P3S + M_Phosphate_HO4P <==> M_Acetyl_phosphate_C2H3O5P + M_Coenzyme_A_C21H32N7O16P3S","true","-999999.0","999999.0","0.0","b2297","Pta","S_Pyruvate_Metabolism","2.3.1.8"
"false","1.933474","R_PYK","R_pyruvate_kinase","M_adp_c + M_h_c + M_pep_c --> M_atp_c + M_pyr_c","M_ADP_C10H12N5O10P2 + M_H_H + M_Phosphoenolpyruvate_C3H2O6P --> M_ATP_C10H12N5O13P3 + M_Pyruvate_C3H3O3","false","0.0","999999.0","0.0","( b1854  and  b1676 )","( Pyka and Pykf )","S_GlycolysisGluconeogenesis","2.7.1.40"
"false","0.0","R_PYRt2r","R_pyruvate_reversible_transport_via_proton_symport","M_h_e + M_pyr_e <==> M_h_c + M_pyr_c","M_H_H + M_Pyruvate_C3H3O3 <==> M_H_H + M_Pyruvate_C3H3O3","true","-999999.0","999999.0","0.0"," "," ","S_"," "
"false","2.525572","R_RPE","R_ribulose_5_phosphate_3_epimerase","M_ru5p_D_c <==> M_xu5p_D_c","M_D_Ribulose_5_phosphate_C5H9O8P <==> M_D_Xylulose_5_phosphate_C5H9O8P","true","-999999.0","999999.0","0.0","b3386","Rpeec","S_Pentose_Phosphate_Pathway","5.1.3.1"
"false","-2.191555","R_RPI","R_ribose_5_phosphate_isomerase","M_r5p_c <==> M_ru5p_D_c","M_alpha_D_Ribose_5_phosphate_C5H9O8P <==> M_D_Ribulose_5_phosphate_C5H9O8P","true","-999999.0","999999.0","0.0","( b2914  or  b4090 )","( RpiA ) or ( RpiB )","S_Pentose_Phosphate_Pathway","5.3.1.6"
"false","0.0","R_SUCCt2_2","R_succinate_transport_via_proton_symport__2_H_","2 M_h_e + M_succ_e --> 2 M_h_c + M_succ_c","2 M_H_H + M_Succinate_C4H4O4 --> 2 M_H_H + M_Succinate_C4H4O4","false","0.0","999999.0","0.0","b3528","DctA","S_"," "
"false","0.0","R_SUCCt2b","R_Succinate_efflux_via_proton_symport","M_h_c + M_succ_c --> M_h_e + M_succ_e","M_H_H + M_Succinate_C4H4O4 --> M_H_H + M_Succinate_C4H4O4","false","0.0","999999.0","0.0","b0621","DcuC","S_"," "
"false","5.335524","R_SUCD1i","R_succinate_dehydrogenase","M_fad_c + M_succ_c --> M_fadh2_c + M_fum_c","M_Flavin_adenine_dinucleotide_oxidized_C27H31N9O15P2 + M_Succinate_C4H4O4 --> M_Flavin_adenine_dinucleotide_reduced_C27H33N9O15P2 + M_Fumarate_C4H2O4","false","0.0","999999.0","0.0","( b0721  and  b0722  and  b0723  and  b0724 )","Sdh","S_Citric_Acid_Cycle","1.3.99.1"
"false","5.335524","R_SUCD4","R_succinate_dehyrdogenase","M_fadh2_c + M_q8_c <==> M_fad_c + M_q8h2_c","M_Flavin_adenine_dinucleotide_reduced_C27H33N9O15P2 + M_Ubiquinone_8_C49H74O4 <==> M_Flavin_adenine_dinucleotide_oxidized_C27H31N9O15P2 + M_Ubiquinol_8_C49H76O4","true","-999999.0","999999.0","0.0","( b0721  and  b0722  and  b0723  and  b0724 )","Sdh","S_Oxidative_Phosphorylation"," "
"false","-5.335524","R_SUCOAS","R_succinyl_CoA_synthetase__ADP_forming_","M_atp_c + M_coa_c + M_succ_c <==> M_adp_c + M_pi_c + M_succoa_c","M_ATP_C10H12N5O13P3 + M_Coenzyme_A_C21H32N7O16P3S + M_Succinate_C4H4O4 <==> M_ADP_C10H12N5O10P2 + M_Phosphate_HO4P + M_Succinyl_CoA_C25H35N7O19P3S","true","-999999.0","999999.0","0.0","( b0728  and  b0729 )","SucC","S_Citric_Acid_Cycle","6.2.1.5"
"false","1.41827","R_TALA","R_transaldolase","M_g3p_c + M_s7p_c <==> M_e4p_c + M_f6p_c","M_Glyceraldehyde_3_phosphate_C3H5O6P + M_Sedoheptulose_7_phosphate_C7H13O10P <==> M_D_Erythrose_4_phosphate_C4H7O7P + M_D_Fructose_6_phosphate_C6H11O9P","true","-999999.0","999999.0","0.0","b0008","TalB","S_Pentose_Phosphate_Pathway","2.2.1.2"
"false","0.0","R_THD2","R_NAD_P__transhydrogenase","M_nadh_c + M_nadp_c + 2 M_h_e --> 2 M_h_c + M_nad_c + M_nadph_c","M_Nicotinamide_adenine_dinucleotide___reduced_C21H27N7O14P2 + M_Nicotinamide_adenine_dinucleotide_phosphate_C21H25N7O17P3 + 2 M_H_H --> 2 M_H_H + M_Nicotinamide_adenine_dinucleotide_C21H26N7O14P2 + M_Nicotinamide_adenine_dinucleotide_phosphate___reduced_C21H26N7O17P3","false","0.0","999999.0","0.0","( b1602  and  b1603 )","Pnt","S_Oxidative_Phosphorylation","1.6.1.1"
"false","1.41827","R_TKT1","R_transketolase","M_r5p_c + M_xu5p_D_c <==> M_g3p_c + M_s7p_c","M_alpha_D_Ribose_5_phosphate_C5H9O8P + M_D_Xylulose_5_phosphate_C5H9O8P <==> M_Glyceraldehyde_3_phosphate_C3H5O6P + M_Sedoheptulose_7_phosphate_C7H13O10P","true","-999999.0","999999.0","0.0","( b2935  or  b2465 )","( TktA ) or ( TktB )","S_Pentose_Phosphate_Pathway","2.2.1.1"
"false","1.107302","R_TKT2","R_transketolase","M_e4p_c + M_xu5p_D_c <==> M_f6p_c + M_g3p_c","M_D_Erythrose_4_phosphate_C4H7O7P + M_D_Xylulose_5_phosphate_C5H9O8P <==> M_D_Fructose_6_phosphate_C6H11O9P + M_Glyceraldehyde_3_phosphate_C3H5O6P","true","-999999.0","999999.0","0.0","( b2935  or  b2465 )","( TktA ) or ( TktB )","S_Pentose_Phosphate_Pathway","2.2.1.1"
"false","7.570782","R_TPI","R_triose_phosphate_isomerase","M_dhap_c <==> M_g3p_c","M_Dihydroxyacetone_phosphate_C3H5O6P <==> M_Glyceraldehyde_3_phosphate_C3H5O6P","true","-999999.0","999999.0","0.0","b3919","Tpi","S_GlycolysisGluconeogenesis","5.3.1.1"
