"KO","Flux Value","Reaction Abbreviation","Reaction Name","Reaction Equation (Metabolite Abbreviation)","Reaction Equation (Metabolite Name)","Reversible","Lower Bound","Upper Bound","Biological Objective","Gene Associations","PROTEIN_ASSOCIATION","SUBSYSTEM","PROTEIN_CLASS"
"false","7.570782","R_FBA","R_fructose_bisphosphate_aldolase","M_fdp_c <==> M_dhap_c + M_g3p_c","M_D_Fructose_1_6_bisphosphate_C6H10O12P2 <==> M_Dihydroxyacetone_phosphate_C3H5O6P + M_Glyceraldehyde_3_phosphate_C3H5O6P","true","-999999.0","999999.0","0.0","b2925","FbaA","S_GlycolysisGluconeogenesis","4.1.2.13"
"false","0.0","R_FBP","R_fructose_bisphosphatase","M_fdp_c + M_h2o_c --> M_f6p_c + M_pi_c","M_D_Fructose_1_6_bisphosphate_C6H10O12P2 + M_H2O_H2O --> M_D_Fructose_6_phosphate_C6H11O9P + M_Phosphate_HO4P","false","0.0","999999.0","0.0","b4232","Fbp","S_GlycolysisGluconeogenesis","3.1.3.11"
"false","0.0","R_FORt","R_formate_transport_via_diffusion","M_for_e <==> M_for_c","M_Formate_CH1O2 <==> M_Formate_CH1O2","true","-999999.0","999999.0","0.0","b0904","FocA","S_Transport__Extracellular"," "
"false","0.0","R_FRD","R_fumarate_reductase","M_fadh2_c + M_fum_c --> M_fad_c + M_succ_c","M_Flavin_adenine_dinucleotide_reduced_C27H33N9O15P2 + M_Fumarate_C4H2O4 --> M_Flavin_adenine_dinucleotide_oxidized_C27H31N9O15P2 + M_Succinate_C4H4O4","false","0.0","999999.0","0.0","( ( b4151  and  b4152  and  b4153  and  b4154 )  or  b3117 )","Frd","S_Citric_Acid_Cycle","1.3.99.1"
"false","5.335524","R_FUM","R_fumarase","M_fum_c + M_h2o_c <==> M_mal_L_c","M_Fumarate_C4H2O4 + M_H2O_H2O <==> M_L_Malate_C4H4O5","true","-999999.0","999999.0","0.0","( b1612  or  b4122  or  b1611 )","( FumA ) or ( FumB ) or ( FumCec )","S_Citric_Acid_Cycle","4.2.1.2"
"false","0.0","R_FUMt2_2","R_Fumarate_transport_via_proton_symport__2_H_","M_fum_e + 2 M_h_e --> M_fum_c + 2 M_h_c","M_Fumarate_C4H2O4 + 2 M_H_H --> M_Fumarate_C4H2O4 + 2 M_H_H","false","0.0","999999.0","0.0","b3528","DctA","S_"," "
"false","4.717127","R_G6PDH2r","R_glucose_6_phosphate_dehydrogenase","M_g6p_c + M_nadp_c <==> M_6pgl_c + M_h_c + M_nadph_c","M_D_Glucose_6_phosphate_C6H11O9P + M_Nicotinamide_adenine_dinucleotide_phosphate_C21H25N7O17P3 <==> M_6_phospho_D_glucono_1_5_lactone_C6H9O9P + M_H_H + M_Nicotinamide_adenine_dinucleotide_phosphate___reduced_C21H26N7O17P3","true","-999999.0","999999.0","0.0","b1852","Zwf","S_Pentose_Phosphate_Pathway","1.1.1.49"
"false","16.137745","R_GAPD","R_glyceraldehyde_3_phosphate_dehydrogenase","M_g3p_c + M_nad_c + M_pi_c <==> M_13dpg_c + M_h_c + M_nadh_c","M_Glyceraldehyde_3_phosphate_C3H5O6P + M_Nicotinamide_adenine_dinucleotide_C21H26N7O14P2 + M_Phosphate_HO4P <==> M_3_Phospho_D_glyceroyl_phosphate_C3H4O10P2 + M_H_H + M_Nicotinamide_adenine_dinucleotide___reduced_C21H27N7O14P2","true","-999999.0","999999.0","0.0","( b1779  or  ( b1416  and  b1417 ) )","( GapA ) or ( GapC )","S_GlycolysisGluconeogenesis","1.2.1.12"
"false","10.0","R_GLCpts","R_D_glucose_transport_via_PEPPyr_PTS","M_pep_c + M_glc_D_e --> M_g6p_c + M_pyr_c","M_Phosphoenolpyruvate_C3H2O6P + M_D_Glucose_C6H12O6 --> M_D_Glucose_6_phosphate_C6H11O9P + M_Pyruvate_C3H3O3","false","0.0","999999.0","0.0","( b1101  and  b2415  and  b2416  and  b2417 )","Pts","S_Transport__Extracellular"," "
"false","4.717127","R_GND","R_phosphogluconate_dehydrogenase","M_6pgc_c + M_nadp_c --> M_co2_c + M_nadph_c + M_ru5p_D_c","M_6_Phospho_D_gluconate_C6H10O10P + M_Nicotinamide_adenine_dinucleotide_phosphate_C21H25N7O17P3 --> M_CO2_CO2 + M_Nicotinamide_adenine_dinucleotide_phosphate___reduced_C21H26N7O17P3 + M_D_Ribulose_5_phosphate_C5H9O8P","false","0.0","999999.0","0.0","b2029","Gnd","S_Pentose_Phosphate_Pathway","1.1.1.44"
"false","-24.920131","R_H2Ot","R_H2O_transport_via_diffusion","M_h2o_e <==> M_h2o_c","M_H2O_H2O <==> M_H2O_H2O","true","-999999.0","999999.0","0.0"," "," ","S_Transport__Extracellular"," "
"false","6.264896","R_ICDHyr","R_isocitrate_dehydrogenase__NADP_","M_icit_c + M_nadp_c <==> M_akg_c + M_co2_c + M_nadph_c","M_Isocitrate_C6H5O7 + M_Nicotinamide_adenine_dinucleotide_phosphate_C21H25N7O17P3 <==> M_2_Oxoglutarate_C5H4O5 + M_CO2_CO2 + M_Nicotinamide_adenine_dinucleotide_phosphate___reduced_C21H26N7O17P3","true","-999999.0","999999.0","0.0","b1136","Icd","S_Citric_Acid_Cycle","1.1.1.42"
"false","0.0","R_ICL","R_Isocitrate_lyase","M_icit_c --> M_glx_c + M_succ_c","M_Isocitrate_C6H5O7 --> M_Glyoxylate_C2H1O3 + M_Succinate_C4H4O4","false","0.0","999999.0","0.0","b4015","AceA","S_Anaplerotic_reactions","4.1.3.1"
"false","0.0","R_LDH_D","R_D_lactate_dehydrogenase","M_lac_D_c + M_nad_c <==> M_h_c + M_nadh_c + M_pyr_c","M_D_Lactate_C3H5O3 + M_Nicotinamide_adenine_dinucleotide_C21H26N7O14P2 <==> M_H_H + M_Nicotinamide_adenine_dinucleotide___reduced_C21H27N7O14P2 + M_Pyruvate_C3H3O3","true","-999999.0","999999.0","0.0","b1380","Ldh","S_","1.1.1.28"
"false","0.0","R_MALS","R_malate_synthase","M_accoa_c + M_glx_c + M_h2o_c --> M_coa_c + M_h_c + M_mal_L_c","M_Acetyl_CoA_C23H34N7O17P3S + M_Glyoxylate_C2H1O3 + M_H2O_H2O --> M_Coenzyme_A_C21H32N7O16P3S + M_H_H + M_L_Malate_C4H4O5","false","0.0","999999.0","0.0","( b4014  or  b2976 )","( AceB ) or ( GlcB )","S_Anaplerotic_reactions","4.1.3.2"
"false","5.335524","R_MDH","R_malate_dehydrogenase","M_mal_L_c + M_nad_c <==> M_h_c + M_nadh_c + M_oaa_c","M_L_Malate_C4H4O5 + M_Nicotinamide_adenine_dinucleotide_C21H26N7O14P2 <==> M_H_H + M_Nicotinamide_adenine_dinucleotide___reduced_C21H27N7O14P2 + M_Oxaloacetate_C4H2O5","true","-999999.0","999999.0","0.0","b3236","Mdh","S_Citric_Acid_Cycle","1.1.1.37"
"false","0.0","R_ME1","R_malic_enzyme__NAD_","M_mal_L_c + M_nad_c --> M_co2_c + M_nadh_c + M_pyr_c","M_L_Malate_C4H4O5 + M_Nicotinamide_adenine_dinucleotide_C21H26N7O14P2 --> M_CO2_CO2 + M_Nicotinamide_adenine_dinucleotide___reduced_C21H27N7O14P2 + M_Pyruvate_C3H3O3","false","0.0","999999.0","0.0","b1479","Sfc","S_Anaplerotic_reactions","1.1.1.38"
