KEGG, CAS,PubChem,ChEBI,NIKKAJI,PDB-CCD,KNApSAcK,3DMET,LIPIDMAPS,GlycomeDB,CCSD,JCGGDB,LipidBank
C15549,11029-12-2,17396541,36121,J101.736E, , , , , , , , 
C15548, ,17396540, ,J1.112.881E, , , , , , , , 
C15547, ,17396539,52668,J1.968.560H, , , , , , , , 
C15546, ,17396538,29043,J676.541F, , , , , , , , 
C15545, ,17396537,46570,J484.112C,ZEZ,C00007325, , , , , , 
C15544, ,17396536,11936, , , , , , , , , 
C15543, ,17396535,12193, , , , , , , , , 
C15542, ,17396534,29051|61760,J2.794.879K, , , , , , , , 
C15541, ,17396533, , , , , , , , , , 
C15540, ,17396532,55410, , , , , , , , , 
C07764,554-57-4,9966,6822,J2.070B, , , , , , , , 
C07765,135-07-9,9967,6847,J5.603K, , , , , , , , 
C07766,346-18-9,9968,8327,J2.035D, , , , , , , , 
C07767,133-67-5,9969,9683,J2.527E, , , , , , , , 
C07760,138890-62-7,9962,3176,J1.143.859H,BZ1, , , , , , , 
C07761,153-61-7,9963,124991,J3.273E,CLS, , , , , , , 
C07763,135-09-1,9965,5784,J2.529A,HFZ, , , , , , , 
C07768,58581-89-8,9970,2950,J13.831B, , , , , , , , 
C06495, ,8726,3845,J470.569F, , , , , , , , 
C06494, ,8725,3847,J2.762.284D, , , , , , , , 
C06497, ,8728,10027,J253.605F, , , , , , , , 
C06496, ,8727,3846,J22.038H,W71, , , , , , , 
C06491, ,8722,47729,J470.568H,W42, , , , , , , 
C06490, ,8721,10028,J294.090F,W35, , , , , , , 
C05618,4018-65-9,7936,27715,J254.943C,3CE, ,B00810, , , , , 
C05619,2041-35-2,7937,2069,J821.082I, ,C00007336,B00811, , , , , 
C05616, ,7935,28647,J217.773K, , ,B00809, , , , , 
C05615,9005-53-2,7934,6457,J209.206I, , , , , , , , 
C06499, ,8730,47732,J523.595B,W91, , , , , , , 
C05613,104-57-4,7933,3057,J53.979A, , ,B00808, , , , , 
C05610,4206-58-0,7932,27949,J329.696B,SNY,C00002775|C00031384,B00807, , , , , 
C00268, ,3566, ,J959.455H,H2B, ,B04657, , , , , 
C00269, ,3567,17962, , , , ,LMGP13010000, , , , 
C00261,100-52-7,3559,17169,J4.010J,HBX,C00034452,B00077, , , , , 
C00262,68-94-0,3560,17368,J1.934H,HPA,C00001502,B00078, , , , , 
C00263,672-15-1,3561,15699,J9.199E,HSE,C00001366,B01202, , , , , 
C00264, ,3562,15489, , , , , , , , , 
C00265,12/3/3483,3563,18320|42106,J388.818E|J64.633D,DTT, , , , , , , 
C00266,141-46-8,3564,17071,J2.537B, ,C00007457,B00079, , , , , 
C00267,492-62-6,3565,17925,J44.217H,GLC,C00001122,B01203, , , , , 
C03517, ,6326, , , , , , , , , , 
C03516, ,6325,15431, , ,C00007369,B01666, , , , , 
C03515, ,6324,18128,J387.924K, ,C00004268,B01665, , , , , 
C03514,1180-71-8,6323,16226,J9.856F, ,C00003719,B01664, , , , , 
C03512, ,6322,29159, , , , , , , , , 
C03511, ,6321,29153, , , , , , , , , 
C03510,15985-39-4,6320,28490,J225.433F,MSL, , , , , , , 
C03519,2018-61-3,6328,16259,J27.562J, , ,B00595, , , , , 
C03518, ,6327,28401, , , , , , , , , 
G12107, , , , , , , , ,24734,17233, , 
C12018, ,14175,29675,J660.155C, , , , , , , , 
C12019, ,14176,29470,J2.779.958B, , , , , , , , 
C16701, ,96023225,80666,J2.395.942I, , , , , , , , 
C12014,118395-73-6,14172,29556,J410.822A, ,C00017622, , , , , , 
C12016,90039-80-8,14173,29505,J1.295.433F, ,C00017818, , , , , , 
C12017, ,14174,29621,J2.766.517I, , , , , , , , 
C12011,151922-16-6,14169,29569,J556.658D, , ,B04410,LMPK07000009, , , , 
C12012,220620-09-7,14170,149836, ,T1C, , , , , , , 
C12013,103060-53-3,14171,600103,J359.001A, , , , , , , , 
C18171, ,96024387,81559,J2.218.407E, , , ,LMFA03070019, , , , 
C16703, ,96023227,80668,J1.854.928J, , , , , , , , 
C18170, ,96024386,30322, , , , , , , , , 
C16704, ,96023228,80669,J82.131D, , , , , , , , 
G01596, , , , , , , , ,18216,28761|37529|37530,JCGG-STR008839, 
G12101, , , , , , , , ,24732,20943,JCGG-STR015838, 
G01590, , , , , , , , ,18213,4925|15354|15355|17804|25875,JCGG-STR008836, 
G01592, , , , , , , , ,18214,4024|30461|30462,JCGG-STR008837, 
C18176, ,96024392,81562, , , , ,LMFA03070034, , , , 
C06149, ,8405,28244,J2.761.608I, , ,B05167, , , , , 
C06148, ,8404,28003,J2.761.598H, , ,B05166, , , , , 
C06146,927-74-2,8402,27444,J1.744B, , ,B00910, , , , , 
C06145,52844-23-2,8401,28180,J694.532E, , ,B00909, , , , , 
C06144,2345-51-9,8400,1461|62211,J247.950H, , ,B00908, , , , , 
C06143, ,8399,8295, , , , , , , , , 
C06142, ,8398,28885,J2.374D,1BO,C00035814,B00907,LMFA05000109, , , , 
C06141, ,8397,28175, , , , , , , , ,GSG1103|GSG3045|GSG3046|GSG3047
C06140, ,8396,28058, , , , , , , , ,GSG1105
G12420, , , , , , , , ,24888,2410,JCGG-STR016007, 
G12421, , , , , , , , ,1786,44415,JCGG-STR008449, 
G12422, , , , , , , , ,24889,31859,JCGG-STR016008, 
G12423, , , , , , , , ,3784,3110|6224|32211|40072|47703,JCGG-STR024686, 
G12424, , , , , , , , ,24890,3467,JCGG-STR016010, 
G12425, , , , , , , , ,24891,3390,JCGG-STR016011, 
G12426, , , , , , , , ,24892,270|271,JCGG-STR016012, 
G12427, , , , , , , , ,24893,31826,JCGG-STR016013, 
G12429, , , , , , , , ,24894,29022,JCGG-STR016014, 
C13651,28270-04-4,853992,34776,J2.785.781G, , , , , , , , 
C13650,1131-64-2,7846928,34665,J7.269I, , , , , , , , 
C13652,69-52-3,853993,34535,J4.868B, , , , , , , , 
C17790,30045-16-0,96024109,81342,J19.822F, ,C00026123, , , , , , 
C02645, ,5622,28367,J2.739.316K, , , ,LMFA03020034, , , , 
C02646,5/9/3690,5623,28386|64555,J117.130E, ,C00000613|C00031420,B00473, , , , , 
C02647, ,5624,16671,J1.191.009B, , ,B00474, , , , , 
C02640,107-85-7,5620,43689,J95.661I,LEN, , , , , , , 
C17795,85819-51-8,96024110,81343,J397.846J, , , , , , , , 
C02642,462-88-4,5621,18261,J39.569B,URP, ,B00472, , , , , 
C17797, ,163311820, , , ,C00050007, , , , , , 
C17798,84676-89-1,163311821, , , ,C00035247, , , , , , 
C17799,84687-43-4,163311822, , , ,C00035248, , , , , , 
C02648, ,5625,16711,J2.739.319E, , ,B00475, , , , , 
C10302,87255-09-2,12488,2828,J438.809G, ,C00002795,B05429, , , , , 
C10303,129025-96-3,12489,28268,J2.773.010H, ,C00002796,B03723, , , , , 
C10300,86533-36-0,12486,2823,J38.788F, ,C00002794,B03721, , , , , 
C10301,570-19-4,12487,4943,J20.682B, ,C00002086,B03722, , , , , 
C10306,33390-21-5,12492,3096,J19.756D, ,C00002798,B03726, , , , , 
C10307,53823-08-8,12493,3446,J10.854E, ,C00002799,B03727,LMPK13040003, , , , 
C10304,6029-87-4,12490,5187,J2.773.011F, ,C00002087,B03724, , , , , 
C10305,1415-73-2,12491,2991,J34.737J, ,C00002797,B03725, , , , , 
C10308,27567-11-9,12494,3455,J19.775K, ,C00002800,B03728, , , , , 
C10309,35082-49-6,12495,3556,J18.014I|J423.406E, ,C00002801,B03729, , , , , 
C19420,103-11-7,124490092,82465, , , , , , , , , 
C19421,5456-28-0,124490093,82466, , , , , , , , , 
C19422,314-13-6,124490094,82467, , , , , , , , , 
C19423,2353-45-9,124490095,82468, , , , , , , , , 
C19424,1309-37-1,124490096,50819, , , , , , , , , 
C19425,206-44-0,124490097,33083, , , , , , , , , 
C19426,5431-33-4,124490098,82469, , , , , , , , , 
C19427,7460-84-6,124490099,82470, , , , , , , , , 
C19428,4680-78-8,124490100,82471, , , , , , , , , 
C19429,33229-34-4,124490101,82472, , , , , , , , , 
C06492, ,8723,3844,J2.762.279H, , , , , , , , 
C11657, ,13822,5966,J2.775.752I, , ,B04292,LMPR0102070026, , , , 
C11656, ,13821,2318,J2.775.751K, , ,B04291,LMPR0102070025, , , , 
C11655, ,13820,2882,J2.775.750B, , , , , , , , 
C11654,61081-59-2,13819,9403,J20.139A, ,C00010709, , , , , , 
C11653, ,13818,5969,J2.775.736G, , ,B04290,LMPR0102070024, , , , 
C11652,72963-55-4,13817,2320,J11.959H, , ,B04289,LMPR0102070023, , , , 
C11651, ,13816,2317,J2.775.717K, , ,B04288,LMPR0102070022, , , , 
C11650, ,13815,2316,J2.775.715D, , ,B04287,LMPR0102070021, , , , 
C11659, ,13824,705,J778.644A, , ,B04294,LMPR0102070028, , , , 
C11658, ,13823,2319,J2.775.763D, , ,B04293,LMPR0102070027, , , , 
C15936,108433-95-0,47205253,80190,J352.857J, , , , , , , , 
C15937, ,47205254,80191,J2.797.014A, , , , , , , , 
C15935, ,47205252,80189,J2.797.013C, , , , , , , , 
C15932, ,47205250,80187,J2.797.004D, , , , , , , , 
C15933, ,47205251,80188,J2.797.012E, , , ,LMPR01070185, , , , 
C15930, ,47205248, ,J351.183I,2Q2, , , , , , , 
C15931,108433-99-4,47205249,80186,J352.856A, , , , , , , , 
C15938, ,47205255,80192,J2.044.506H, , , , , , , , 
C09061,427-79-2,11253,2598,J12.463J, ,C00003402,B02651, , , , , 
C09060,523-50-2,11252,28928,J1.579B, ,C00002450,B02650, , , , , 
C03160, ,6045,15509,J1.968.559D, , ,B04881, , , , , 
C03007,4122-52-5,5915,27449,J224.932D, , , , , , , , 
C03001, ,5910,16820,J304.837C, , , , , , , , 
C03000, ,5909,63120, , , , , , , , , 
C03003, ,5912,49124,J704.822J, , , , , , , , 
C03002,29554-26-5,5911,17417,J39.015A, ,C00002719,B00526, , , , , 
C04178,1689-84-5,6856,17192,J7.557D, , ,B00685, , , , , 
C20589, ,172232326, , , , , , , , , , 
C20588,4430-25-5,172232325, , , , , , , , , , 
C20587, ,172232324, , , , , , , , , , 
C04175, ,6854,28767,J2.747.140D, , , , , , , , 
C20585, ,172232322, , , , , , , , , , 
C20584, ,172232321, , , , , , , , , , 
C04170, ,6851,18360,J586.876I, , , , , , , , 
C04171, ,6852,15941|48968,J727.021F, ,C00000737, , , , , , 
C20581, ,172232318, , , , , , , , , , 
C20580, ,172232317, , , , , , , , , , 
G09718, , , , , , , , ,23852,14178,JCGG-STR014910, 
G09719, , , , , , , , ,23853,9660,JCGG-STR014911, 
G09712, , , , , , , , ,23847,9740,JCGG-STR014904, 
G09713, , , , , , , , ,23848,13958,JCGG-STR014905, 
G09710, , , , , , , , ,23845,9779,JCGG-STR014902, 
G09711, , , , , , , , ,23846,11237,JCGG-STR014903, 
G09716, , , , , , , , ,23850,13959,JCGG-STR014908, 
G09717, , , , , , , , ,23851,37784|37785,JCGG-STR014909, 
G09714, , , , , , , , , ,50400, , 
G09715, , , , , , , , ,23849,13956,JCGG-STR014906, 
C18428,330-54-1,124489102,116509, ,W9M, , , , , , , 
C10889,21453-69-0,13072,47,J15.958A, ,C00002631|C00044152,B04193, , , , , 
C10888,68143-82-8,13071,9365,J878.591K, ,C00002630,B04192, , , , , 
C10881,58546-56-8,13064,9048,J305.297D, ,C00002625,B04185, , , , , 
G02895, , , , , , , , ,9957,709|21336,JCGG-STR031303, 
C10883,100016-94-2,13066,9127,J230.917C, ,C00002626,B04187, , , , , 
C10882,607-80-7,13065,66470,J9.612A, ,C00000601,B04186, , , , , 
C10885,74061-78-2,13068,9149,J2.781.946J, ,C00002628,B04189, , , , , 
C10884,77394-27-5,13067,9128,J759.735E, ,C00002627,B04188, , , , , 
C10887,69742-32-1,13070,9295,J905.153H, ,C00002629,B04191, , , , , 
G02893, , , , , , , , ,8244,929|30916,JCGG-STR029449, 
G07978, , , , , , , , ,22653,13049,JCGG-STR013623, 
G03419, , , , , , , , ,19454,3439|3440,JCGG-STR010189, 
G07974, , , , , , , , ,709,8403,JCGG-STR028195, 
G03416, , , , , , , , ,19453,4647|4770|4775|4779|9619|9629|10093|10183|10184|10765|10766|10767|10769|10770|10790|10791|11274|13367|15147|15857|15921|16261|16395|16859|17210|17489|18226|18262|18585|18668|19233|19454|19647|20788|22236|22238|22429|22815|23149|23424|23429|23733|25893|27532|28133|30300|31087|31942|31943|31987|34501|34502|35964|37592|47834|48439|48518|49322|50255,JCGG-STR010188, 
G03415, , , , , , , , ,19452,13942|42276,JCGG-STR010187, 
G07977, , , , , , , , ,22652,10332,JCGG-STR013622, 
G03413, , , , , , , , ,19451,43|4523,JCGG-STR010186, 
G03412, , , , , , , , ,19450,31581|37418,JCGG-STR010185, 
G07972, , , , , , , , ,22648,30092,JCGG-STR013617, 
G07973, , , , , , , , ,22649,17455,JCGG-STR013618, 
G06599, , , , , , , , ,21670,21559,JCGG-STR012579, 
G06598, , , , , , , , ,21669,21560,JCGG-STR012577, 
G06591, , , , , , , , ,21666,2734,JCGG-STR012574, 
G06590, , , , , , , , ,21665,34762,JCGG-STR012573, 
G06593, , , , , , , , ,21668,44969,JCGG-STR012576, 
G06592, , , , , , , , ,21667,23088,JCGG-STR012575, 
G06595, , , , , , , , , ,20034, , 
G06594, , , , , , , , , ,20037, , 
G06597, , , , , , , , ,10677,21561,JCGG-STR000752, 
G04999, , , , , , , , ,20517,23953,JCGG-STR011346, 
G04998, , , , , , , , ,20516,47137,JCGG-STR011345, 
G04996, , , , , , , , ,20515,28439|47135,JCGG-STR011344, 
G04995, , , , , , , , ,7661,1276,JCGG-STR028808,GSG1339
G04994, , , , , , , , ,20514,20599,JCGG-STR011343, 
G04993, , , , , , , , ,20513,32635,JCGG-STR011342, 
G04992, , , , , , , , ,20512,29618,JCGG-STR011341, 
G04991, , , , , , , , ,20511,28381,JCGG-STR011340, 
G04990, , , , , , , , ,20510,47027,JCGG-STR011339, 
G06629, , , , , , , , ,21692,22235,JCGG-STR012603, 
G06628, , , , , , , , ,21691,2605|8555|8675|9027|10984|11135|11275|11498|12818|18541|30373|31092|43532,JCGG-STR012602, 
G06627, , , , , , , , ,34440,19885, , 
G06626, , , , , , , , ,21690,13537,JCGG-STR012601, 
G06625, , , , , , , , ,21689,9593,JCGG-STR012599, 
G06624, , , , , , , , ,21688,48454,JCGG-STR012598, 
G06623, , , , , , , , ,21687,48455,JCGG-STR012597, 
G06622, , , , , , , , ,21686,48456,JCGG-STR012596, 
G06621, , , , , , , , ,21685,48457,JCGG-STR012595, 
G06620, , , , , , , , ,21684,18473,JCGG-STR012594, 
G12258, , , , , , , , ,24801,43969,JCGG-STR015914, 
G10152, , , , , , , , ,24129,9812,JCGG-STR015208, 
G10153, , , , , , , , ,24130,8752,JCGG-STR015210, 
G10150, , , , , , , , ,24128,4413,JCGG-STR015207, 
G10151, , , , , , , , ,154,8352,JCGG-STR005895, 
G10156, , , , , , , , ,24132,24061,JCGG-STR015212, 
G10157, , , , , , , , ,11480,35200,JCGG-STR001618, 
G10154, , , , , , , , ,24131,9777,JCGG-STR015211, 
G10158, , , , , , , , ,34466,12935, , 
G10159, , , , , , , , ,11798,22379,JCGG-STR001959, 
G04665, , , , , , , , ,10110,2043,JCGG-STR000127, 
G04664, , , , , , , , ,20302,28380,JCGG-STR011116, 
G04667, , , , , , , , ,10708,5149,JCGG-STR000786,GSG1439
G04666, , , , , , , , ,20303,39766,JCGG-STR011117, 
G04661, , , , , , , , ,20300,1767|4563|6868|7036,JCGG-STR011114, 
G04663, , , , , , , , , ,45635, , 
G04662, , , , , , , , ,20301,1769|4562|6939,JCGG-STR011115, 
C13511,38658-53-6,853885,34762, , , , , , , , , 
G04669, , , , , , , , ,20304,13859|40538,JCGG-STR011118, 
G04668, , , , , , , , ,3241,36568,JCGG-STR023433, 
C13515,1310-82-3,586231,32108,J43.981I, , , , , , , , 
C18438,120162-55-2,124489112,81746, , , , , , , , , 
C18439,136849-15-5,124489113,81747, , , , , , , , , 
G01019, , , , , , , , ,17862,9650|9733|12107|15055|15105|43323,JCGG-STR008452, 
G01018, , , , , , , , ,17861,9647|10174|10549|19746|23591|24260|26785,JCGG-STR008451, 
C18430,101463-69-8,124489104,39382, , , , , , , , , 
C18431,144550-36-7,124489105,81741, , , , , , , , , 
C18432,55861-78-4,124489106,81742, , , , , , , , , 
C18433,4849-32-5,124489107,81743, , , , , , , , , 
C18434,103055-07-8,124489108,39384, , , , , , , , , 
C18435,1982-49-6,124489109,81744, , , , , , , , , 
C18436,34014-18-1,124489110,81745, , , , , , , , , 
C18437,83121-18-0,124489111,39387, , , , , , , , , 
G12255, , , , , , , , ,6598,30565,JCGG-STR027676, 
G12254, , , , , , , , ,24799,13910|48286,JCGG-STR015910, 
G11687, , , , , , , , ,33502, , , 
G11686, , , , , , , , ,25754, ,JCGG-STR016935, 
C19749, ,135626216, , , ,C00007632|C00050259, , , , , , 
C19748, ,135626215, , , ,C00011631, , , , , , 
C19741, ,135626208, , , , , , , , , , 
C19740, ,135626207, , , ,C00007243, , , , , , 
C19743,468-68-8,135626210, , , ,C00020282, , , , , , 
C19742, ,135626209, , , ,C00007634, , , , , , 
C19745, ,135626212, , , , , , , , , , 
C19744, ,135626211, , , ,C00020146|C00029421, , , , , , 
C19747, ,135626214, , , ,C00011717, , , , , , 
C19746,7212-44-4,135626213, , ,28U,C00029339, , , , , , 
G11359, , , , , , , , ,33468, , , 
G11358, , , , , , , , ,24420, ,JCGG-STR015524, 
G11353, , , , , , , , ,33467, , , 
G11352, , , , , , , , ,33466, , , 
G11351, , , , , , , , ,25588, ,JCGG-STR016754, 
G11350, , , , , , , , ,33465, , , 
G11357, , , , , , , , ,2623,5190|7120|8099|8110|8111|33972|37119,JCGG-STR017454, 
G11356, , , , , , , , ,24419, ,JCGG-STR015522, 
G01909, , , , , , , , ,18418,3722|18368|28154, , 
G01908, , , , , , , , ,18417,30953|37421|42726,JCGG-STR009059, 
G01907, , , , , , , , ,18416,26057|28627,JCGG-STR009058, 
G01906, , , , , , , , ,18415,30945|37426|42718,JCGG-STR009057, 
G01905, , , , , , , , ,449,2696|16234|31755,JCGG-STR025438, 
G01904, , , , , , , , ,18414,1017|1312|7840|11965|50827,JCGG-STR009056, 
G01903, , , , , , , , ,2193,11959|23946|37112,JCGG-STR012851, 
G01902, , , , , , , , ,18413,1565|24610|24864,JCGG-STR009055, 
G01901, , , , , , , , ,18412,21424|31474|35043|44113,JCGG-STR009054, 
G01900, , , , , , , , ,18411,1434|11984|31334,JCGG-STR009053, 
C08259,488-76-6,10458,37600,J17.785G, ,C00001174, , , , , , 
C08258,488-73-3,10457,27371,J40.045I, ,C00001170, , , , , , 
C08255,527-06-0,10454,8029,J13.883E, ,C00001167|C00032905, , , , , , 
C08254,24570-20-5,10453,3767,J2.765.470C, ,C00001159, , , , , , 
C08257,642-38-6,10456,111,J16.953F, ,C00001169, , , , , , 
C08251,546-60-1,10450,9859,J2.765.431B, ,C00001153, , , , , , 
C08250,20880-64-2,10449,1230,J278.897G, , , , , , , , 
C08253,9072-19-9,10452,5181, , , , , , , , , 
C08252,546-62-3,10451,28586,J16.156J, ,C00001154, , , , , , 
G07504, , , , , , , , ,22309,3491,JCGG-STR013254, 
G07507, , , , , , , , ,22310,41393,JCGG-STR013256, 
G07506, , , , , , , , ,11539,28555,JCGG-STR001682, 
G07500, , , , , , , , ,7800,23022,JCGG-STR028960, 
G07503, , , , , , , , ,22308,19919,JCGG-STR013253, 
G07502, , , , , , , , ,22307,34062,JCGG-STR013252, 
G07509, , , , , , , , , ,32096, , 
G07508, , , , , , , , ,22311,42433,JCGG-STR013257, 
C14453,106-41-2,17395453,47248,J3.608K,BML,C00036569, , , , , , 
C08879,124-99-2,11072,27831,J13.819C, ,C00003636,B02487,LMST01130005, , , , 
C08878,6847-59-2,11071,9032,J2.767.256F, ,C00003635,B02486, , , , , 
C08871,66419-07-6,11064,6346,J74.580D, ,C00003627,B05296, , , , , 
C08870,66419-08-7,11063,6345,J86.114F, ,C00003626,B02479, , , , , 
C08873,93802-98-3,11066,6372,J850.124F, , ,B02481, , , , , 
C08872,93771-82-5,11065,6371,J2.767.254J, ,C00003628,B02480, , , , , 
C08875,465-97-4,11068,7029,J91.731A, ,C00003631,B02483, , , , , 
C08874,6869-51-8,11067,27799,J55.458H, ,C00003630,B02482,LMST01120014, , , , 
C08877,545-49-3,11070,27481,J14.231J, ,C00003634,B02485,LMST01120010, , , , 
C08876,466-07-9,11069,7522,J12.074J, ,C00003632,B02484,LMST01120021, , , , 
C16829, ,96023353,49292,J17.061E, , , , , , , , 
C16828, ,96023352,80759,J39.014C, , , , , , , , 
G12624, , , , , , , , ,9298, ,JCGG-STR030594, 
G12625, , , , , , , , ,24953, ,JCGG-STR016078, 
C16825, ,96023349,80758,J192.049I, , , , , , , , 
C16827, ,96023351,71498,J322.812F, ,C00032376, , , , , , 
C16826, ,96023350,19515,J1.333.744F, , , , , , , , 
C16821,495-19-2,96023345,80754,J11.505C, ,C00044191, , , , , , 
C16820,560-53-2,96023344,80753,J14.228J, , , , , , , , 
C16823,17299-00-2,96023347,80756,J221.234J, , , , , , , , 
C16822,91421-43-1,96023346,80755,J360.571J, , , , , , , , 
C02357,118-91-2,5404,30793,J26.900J, , ,B00430, , , , , 
C01399,9012-36-6,4589,2511, , , , , , , , , 
C01398, ,4588,2468, , , , , , , , , 
C02354, ,5401,27652,J32.847B, , ,B01565, , , , , 
C01392, ,4584, , , , , , , , , , 
C01390,556-82-1,4583,16019,J11.528B, , ,B00282,LMFA05000106, , , , 
C01397,149301-79-1,4587,2341,J746.027I, , , , , , , , 
C01394,25990-60-7,4585,18222|28518,J2.806A,XYS,C00007290, , , , , , 
C11042,118-74-1,13225,5692,J2.911D, , , , , , , , 
G12998, , , , , , , , ,8165,27332,JCGG-STR029362, 
G12999, , , , , , , , ,33574, , , 
G12990, , , , , , , , ,6794,36071,JCGG-STR027881, 
G12991, , , , , , , , ,33573,2491, , 
G12992, , , , , , , , ,28128, ,JCGG-STR019504, 
G12993, , , , , , , , ,28129, ,JCGG-STR019505, 
G12994, , , , , , , , ,28130, ,JCGG-STR019507, 
G12996, , , , , , , , ,27606, ,JCGG-STR018944, 
G12997, , , , , , , , ,26492, ,JCGG-STR017741, 
C00448,372-97-4,3736,17407,J348.314B,FPP,C00000907|C00007268,B01245,LMPR0103010002, , , ,IIP0005
C00449,997-68-2,3737,16927,J7.215J,SHR,C00007227,B01246, , , , , 
C00440,134-35-0,3729,15641,J356.349I,C2F|THH,C00007252,B04681, , , , , 
C00441, ,3730,13086|18051,J457.019G, ,C00007469,B00117, , , , , 
C00444, ,3732, , , , , , , , , , 
C00445, ,3733,15638,J1.213.619F, , ,B04682, , , , , 
C00446,2255-14-3,3734,17973,J92.787B,GL1,C00007391,B01244, , , , , 
C00447,815-91-8,3735,17969,J604.571E, , ,B04683, , , , , 
C09393,31002-20-7,11584,3889,J2.769.775E, ,C00001838,B02927, , , , , 
C09392,65725-10-2,11583,2313,J625.196J, ,C00003247,B02926, , , , , 
C09391,481-49-2,11582,3546,J5.779G, ,C00001836,B02925, , , , , 
C09390,483-17-0,11581,3533,J5.985D, ,C00001835,B02924, , , , , 
C09397,23758-04-5,11588,4574,J16.561A, ,C00003251,B02931, , , , , 
C09396,20087-05-2,11587,4566,J2.769.793C, ,C00003250,B02930, , , , , 
C09395,38456-39-2,11586,4443,J28.618D, ,C00003249,B02929, , , , , 
C09394,17946-87-1,11585,4441,J15.382F, ,C00003248,B02928, , , , , 
C09399,2326-89-8,11590,4715,J22.584C, ,C00003252,B02933, , , , , 
C09398,8/1/2271,11589,3955,J2.769.800J, ,C00001839,B02932, , , , , 
G13034, , , , , , , , ,25019, , , 
C09645,52483-04-2,11835,3935,J9.938D, ,C00003119,B03158, , , , , 
C09644,35241-55-5,11834,28523,J289.946I, ,C00007929,B03157,LMPK12120511, , , , 
C09647,17699-14-8,11837,10224,J14.928D, ,C00003120,B03160, , , , , 
C09646,87733-81-1,11836,2244,J2.657.438B, ,C00000952,B03159,LMPK12020239, , , , 
C09641,494-48-4,11831,2246,J1.962.226F, ,C00000950|C00045487,B03154,LMPK12020233, , , , 
C09640,89-31-6,11830,112,J4.300A, ,C00001914|C00027481,B03153, , , , , 
C09643,115-53-7,11833,9163,J5.269H, ,C00001918,B03156, , , , , 
C09642,27740-96-1,11832,113,J21.391H, ,C00001915,B03155, , , , , 
C09649,4176-17-4,11839,10225,J37.672H, ,C00003122|C00011617,B03162, , , , , 
C09648,13744-15-5,11838,10363,J14.932B, ,C00003121,B03161, , , , , 
C14535,98-73-7,17395535,34443,J35.624G, , , , , , , , 
C14534,95-93-2,17395534,38978,J4.714G, , , , , , , , 
C14537,15625-89-5,17395537,35028,J38.143H, , , , , , , , 
C14536,40957-83-3,17395536,34778,J17.583H, ,C00009392, ,LMPK12050104, , , , 
C14531,527-73-1,17395531,67135,J3.641B, , , , , , , , 
C14530,868-77-9,17395530,34288,J53.687C, , , , , , , , 
C14533,95-63-6,17395533,34039,J3.567J, , , , , , , , 
C14532,93-72-1,17395532,34758,J4.683C, , , , , , , , 
C14539,133633-12-2,17395539,34806,J406.602B, , , , , , , , 
C14538,3290-92-4,17395538,35029,J64.284C, , , , , , , , 
C04372, ,7014,17511, , , , , , , , , 
C04373,53-42-9,7015,28195,J4.146G,AE2, ,B01736,LMST02020059, , , , 
C04371, ,7013,17919,J434.425A, ,C00000305,B00707, , , , , 
C04376,349-34-8,7017,18272|42411,J40.075K,FGR,C00019642,B04939, , , , , 
C04377, ,7018,16568, , , ,B01737, , , , , 
C04375, ,7016, , , , , , , , , , 
C04378, ,7019,2285,J2.750.322E, , , , , , , , 
C04379, ,7020,17206,J2.750.337C, , , ,LMST02030160, , , , 
C17791, ,163311816, , , , , , , , , , 
C17792, ,163311817, , , , , , , , , , 
C17793, ,163311818, , , , , , , , , , 
C17794, ,163311819, , , , , , , , , , 
G08023, , , , , , , , ,22685,30331,JCGG-STR013658, 
G08022, , , , , , , , ,22684,30148,JCGG-STR013657, 
G08021, , , , , , , , ,10930,35130,JCGG-STR001033, 
G08020, , , , , , , , ,10931,35129,JCGG-STR001034, 
C17796, ,96024111,81344,J798.439A, , , , , , , , 
G08025, , , , , , , , ,22687,28220,JCGG-STR013660, 
G08024, , , , , , , , ,22686,40499,JCGG-STR013659, 
G08029, , , , , , , , ,22690,14822,JCGG-STR013664, 
G08028, , , , , , , , ,22689,14825,JCGG-STR013662, 
C01477,520-36-5,4649,18388,J6.601J,AGI,C00003817,B00300,LMPK12110005, , , , 
C01474,72-48-0,4647,16866,J2.816I, ,C00002785,B00298, , , , , 
C01470,480-44-4,4645,15335,J6.166B, ,C00003820,B00296,LMPK12110468, , , , 
C01471,107-02-8,4646,15368,J4.045B, , ,B00297, , , , , 
C01478,7778-39-4,4650,18231,J3.112G,ART, , , , , , , 
C01479,51-55-8,4651,16684|78734,J231.179H, ,C00002277,B04797, , , , , 
C08118,68401-82-1,10318,3512,J18.749F, , , , , , , , 
C07131,148-79-8,9341, , ,TMG, , , , , , , 
C07130,58-55-9,9340,28177,J2.333G,TEP,C00001510,B02107, , , , , 
C07132,1420-55-9,9342,9544,J3.667F, , , , , , , , 
C08112,62893-20-3,10312,3494,J37.217J, , , , , , , , 
C08113,64485-93-4,10313,3498,J19.801C, , , , , , , , 
C08110,91832-40-5,10310,3485,J227.563E, , , , , , , , 
C08111,88040-23-7,10311,478164,J39.157C, , , , , , , , 
C07139,34787-01-4,9348,9587,J17.850K, , , , , , , , 
C08117,97519-39-6,10317,3510,J227.557K, , , , , , , , 
C08114,80210-62-4,10314,3504,J126.228I, , , , , , , , 
C08115,87239-81-4,10315,3505,J227.713A, , , , , , , , 
