KEGG, CAS,PubChem,ChEBI,NIKKAJI,PDB-CCD,KNApSAcK,3DMET,LIPIDMAPS,GlycomeDB,CCSD,JCGGDB,LipidBank
C11621,520-28-5,13786,9426,J61.252I, ,C00003795, ,LMPK12110190, , , , 
C11626,143-67-9,13791,9984,J524.971F, , , , , , , , 
C11627,14333-18-7,13792,46442,J673.309C, , , , , , , , 
C11624,9005-64-5,13789,53424,J209.268I, , , , , , , , 
C11625,9005-65-6,13790,53426,J209.268I, , , , , , , , 
C11628,2498-50-2,13793,10618,J334.649H, , , , , , , , 
C11629, ,13794,10613,J2.775.648D, , , , , , , , 
G08232, , , , , , , , ,22846,11070,JCGG-STR013833, 
G08233, , , , , , , , ,22847,22955,JCGG-STR013834, 
G03226, , , , , , , , ,6247,28415|34625,JCGG-STR027301, 
C10399,573-40-0,12585,8779,J11.538J, ,C00002860,B03812, , , , , 
C10398,14787-38-3,12584,8773,J8.522G, ,C00002859,B03811, , , , , 
C10391,480-81-9,12577,9108,J15.536E, ,C00002117,B03804, , , , , 
C10390,15121-94-5,12576,8413,J93.209D, ,C00002854,B03803, , , , , 
C10393,72755-25-0,12579,9109,J459.211E, ,C00002118,B03806, , , , , 
C10392,55954-61-5,12578,8605,J393.133A, ,C00002855,B03805,LMPK13040014, , , , 
C10395,81-54-9,12581,8645,J3.859H, ,C00002857,B03808, , , , , 
C10394,476-41-5,12580,8608,J12.549K, ,C00002856,B03807, , , , , 
C10397,94099-66-8,12583,8646,J385.407H, ,C00002858,B03810, , , , , 
C10396,2318-18-5,12582,9111,J15.026F, ,C00002119,B03809, , , , , 
G03222, , , , , , , , ,19322,11319|11342,JCGG-STR010048, 
G03223, , , , , , , , , ,16133|18160, , 
G12226, , , , , , , , ,24215,35227,JCGG-STR015304, 
C16420, ,47205718,20302,J960.990C, , , , , , , , 
G12224, , , , , , , , ,33353,50914|50915, , 
C20861,14417-51-7, , , ,MAB, , , , , , , 
G12225, , , , , , , , ,24784,14220,JCGG-STR015894, 
C20865,570-63-8, , , , , , , , , , , 
G11946, , , , , , , , ,24647,24948,JCGG-STR015758, 
G12220, , , , , , , , ,24783,25185,JCGG-STR015893, 
G11947, , , , , , , , ,10169,23283,JCGG-STR000191, 
C16426, ,47205723,71678,J1.923.854G, , , , , , , , 
G11944, , , , , , , , ,7804,4427,JCGG-STR028964, 
G00544, , , , , , , , ,7542,32581|32633|32913|37910|38224|46288|46295|46300|46304|46909|47351|47355|49206,JCGG-STR028682, 
G00545, , , , , , , , ,17570,1768|3779|4641|6892|6893|14700|21633|33876|36434|44527,JCGG-STR008136, 
G00546, , , , , , , , ,1235,2586|4704|8355|10576|11282|12448|13222|13923|13925|15946|18049|18143|18379|18548|20415|23546|26542,JCGG-STR002562, 
G00547, , , , , , , , ,17571,26633|26637|26638|26650|26651|26699|27386|27395|27421|27423|27424|27759|30662,JCGG-STR008137, 
G00540, , , , , , , , ,3378,1124|7575|9153|11338|11347|11349|13661|14548|15046|16071|17770|21074|40441|47714,JCGG-STR024257,GSG1229
G00541, , , , , , , , ,3220,772|14553|15938|16057|16070|22084|25258|32754|33246|35119|36489|40445|45478|47172,JCGG-STR023200,GSG1230
G00543, , , , , , , , ,17569,153|154|155|156|157|158|159|160|3347|3944|24028|24594|29072|29660|29698|30844|33470|38651|42738|43960|43980|47102|49604,JCGG-STR008134, 
C04530,6384-28-7,7140,16455,J144.729G, , ,B04946,LMST01010207, , , , 
G00548, , , , , , , , ,17572,3272|3276|10053|14091|16585|18852|23972|32918|37806|40962|41638|41684|47800,JCGG-STR008138, 
G00549, , , , , , , , ,2958,9065|9186|9342|9459|11264|13983|18071|20393|20724|21347|21726|21976|22793|25502|38323,JCGG-STR020881, 
G11943, , , , , , , , ,9431,47434,JCGG-STR030740, 
G07017, , , , , , , , ,21967,11194,JCGG-STR012889, 
G07016, , , , , , , , ,21966,9919,JCGG-STR012888, 
G02574, , , , , , , , ,18903,48872|48875,JCGG-STR009593, 
G07013, , , , , , , , ,21964,8917,JCGG-STR012886, 
C01720,26372-13-4,4857,17291|21291,J1.694.210C,LFC, , , , , , , 
G07011, , , , , , , , ,21962,20625,JCGG-STR012884, 
G07010, , , , , , , , ,21961,24206,JCGG-STR012883, 
G06050, , , , , , , , ,21259,7167,JCGG-STR012133, 
C01721, ,4858,17617,J37.412A,CVU,C00019650,B01487, , , , , 
G07019, , , , , , , , ,21969,11247,JCGG-STR012891, 
G07018, , , , , , , , ,21968,16669,JCGG-STR012890, 
G12228, , , , , , , , ,5214,21939,JCGG-STR026209, 
G02570, , , , , , , , ,18899,40168|40169,JCGG-STR009587, 
G09148, , , , , , , , ,23478,33010,JCGG-STR014513, 
G09143, , , , , , , , ,23476,41944,JCGG-STR014511, 
G09142, , , , , , , , , ,39127, , 
G09141, , , , , , , , , ,39126, , 
G09140, , , , , , , , , ,39125, , 
G09147, , , , , , , , ,23477,40058,JCGG-STR014512, 
G09144, , , , , , , , ,16840,42287,JCGG-STR007370, 
G11948, , , , , , , , ,16255,30107,JCGG-STR006767, 
G11949, , , , , , , , ,24648,20472,JCGG-STR015759, 
C20248, ,163311991, , ,2KA, , , , , , , 
C20249, ,163311992, , , , , , , , , , 
C20244,19902-08-0,163311987, , , , , , , , , , 
C20245, ,163311988, , , , , , , , , , 
C20246, ,163311989, , , , , , , , , , 
C20247, ,163311990, , ,3NM, , , , , , , 
C20240, ,163311983, , , , , , , , , , 
C20241,508-32-7,163311984, , , ,C00011067, , , , , , 
C20242, ,163311985, , ,SNE, , , , , , , 
C20243,2371-42-8,163311986, , , ,C00011026, , , , , , 
C08642,79620-69-2,10835,5630,J2.766.421K, ,C00002380, , , , , , 
C02267,53910-25-1,5328,27834,J10.843J,DCF, , , , , , , 
C08640,132548-17-5,10833,4383,J2.136.380D, , ,B02293, , , , , 
C02265,673-06-3,5326,16998,J9.200B,DPN, ,B01552, , , , , 
C08646,42529-06-6,10839,28090,J2.766.451B, ,C00006616,B02297,LMPK12010428, , , , 
G08238, , , , , , , , ,22852,12226,JCGG-STR013840, 
G08239, , , , , , , , ,22853,20759|29312,JCGG-STR013841, 
G03228, , , , , , , , ,19323,11318|11344,JCGG-STR010049, 
G03229, , , , , , , , ,19324,11771|21737,JCGG-STR010050, 
G03224, , , , , , , , ,9468,11088|13282,JCGG-STR030780, 
G03225, , , , , , , , ,8864,31038|48116,JCGG-STR030122, 
G08230, , , , , , , , ,22844,47895,JCGG-STR013831, 
G08231, , , , , , , , ,22845,22954,JCGG-STR013832, 
G03220, , , , , , , , ,19320,22132|22147|30458,JCGG-STR010046, 
G03221, , , , , , , , ,19321,12176|13071,JCGG-STR010047, 
G08234, , , , , , , , ,22848,46482,JCGG-STR013835, 
G08235, , , , , , , , ,22849,12322,JCGG-STR013836, 
G06058, , , , , , , , ,21265,23353,JCGG-STR012140, 
G06059, , , , , , , , ,21266,50245,JCGG-STR012141, 
G02579, , , , , , , , ,16580,3209|23583|23957|37008|48064,JCGG-STR007099, 
G02578, , , , , , , , , ,42907|42909, , 
G02577, , , , , , , , , ,23686, , 
G02576, , , , , , , , ,18905,34527|34528,JCGG-STR009595, 
G06056, , , , , , , , ,21263,35886,JCGG-STR012138, 
G06057, , , , , , , , ,21264,35902,JCGG-STR012139, 
G02573, , , , , , , , ,18902,48764|48765,JCGG-STR009592, 
G06051, , , , , , , , ,21260,27875,JCGG-STR012135, 
G06052, , , , , , , , ,2868,8914,JCGG-STR020066, 
G06053, , , , , , , , ,2867,8913,JCGG-STR020055, 
G07909, , , , , , , , ,11532,12386,JCGG-STR001675, 
G07908, , , , , , , , ,22601,4542,JCGG-STR013567, 
G07901, , , , , , , , ,22594,38047,JCGG-STR013558, 
G07900, , , , , , , , ,22593,38048,JCGG-STR013557, 
G07903, , , , , , , , ,22596,38052,JCGG-STR013560, 
G07902, , , , , , , , ,22595,45126,JCGG-STR013559, 
G07905, , , , , , , , ,22598,38050,JCGG-STR013562, 
G07904, , , , , , , , ,22597,38051,JCGG-STR013561, 
G07907, , , , , , , , ,22600,8920,JCGG-STR013566, 
G07906, , , , , , , , ,22599,38046,JCGG-STR013563, 
G05509, , , , , , , , ,9491,25313,JCGG-STR030805, 
G05508, , , , , , , , ,20869,26874,JCGG-STR011718, 
G05507, , , , , , , , ,20868,8430,JCGG-STR011717, 
G05506, , , , , , , , ,20867,50233,JCGG-STR011716, 
G05505, , , , , , , , ,20866,27723, , 
G05504, , , , , , , , ,20865,18749,JCGG-STR011715, 
G05503, , , , , , , , , ,44974, , 
G05502, , , , , , , , ,20864,49183,JCGG-STR011714, 
