"Metabolite Abbreviation","Metabolite Name","Charge","Compartment","Boundary Condition","Neutral metabolite formula","Charged metab. formula","KeggID","PubChem ID","CheBI ID"
"M_drpp_c","2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one","  ","c","false"," "," ","c01304"," "," "
"M_armp_c","5-Amino-6-(5'-phosphoribosylamino)uracil","  ","c","false"," "," ","c01268"," "," "
"M_armp_m","5-Amino-6-(5'-phosphoribosylamino)uracil","  ","m","false"," "," ","c01268"," "," "
"M_amu_m","5-Amino-6-(5'-phospho-D-ribitylamino)uracil","  ","m","false"," "," ","c04454"," "," "
"M_amu_c","5-Amino-6-(5'-phospho-D-ribitylamino)uracil","  ","c","false"," "," ","c04454"," "," "
"M_aru_c","5-Amino-6-(1-D-ribitylamino)uracil","  ","c","false"," "," ","c04732"," "," "
"M_dlum_c","6,7-Dimethyl-8-(D-ribityl)lumazine","  ","c","false"," "," ","c04332"," "," "
"M_rbv_c","roboflavin","  ","c","false"," "," ","c00255"," "," "
"M_fmn_c","FMN","  ","c","false"," "," ","c00061"," "," "
"M_fad_c","FAD","  ","c","false","C27H33N9O15P2","C27H33N9O15P2","c00016"," "," "
"M_fadh2_c","FADH2","  ","c","false","C27H35N9O15P2","C27H35N9O15P2","c01352"," "," "
"M_d3da_c","7p-2-dehydro-3-deoxy-D-arabinoheptonate","  ","c","false","C7H13O10P","C7H13O10P","C04691","7271","18150"
"M_dhdq_c","3-dehydroquinate","  ","c","false","C7H10O6","C7H10O6","C00944","4196","17947 32364"
"M_dhdsk_c","3-dehydroshikimate","  ","c","false","C7H8O5","C7H8O5","C02637","5617","30918"
"M_shik_c","shikimate","  ","c","false","C7H10O5","C7H10O5","C00493","3776","16119"
"M_shik3p_c","shikimate-3-phosphate","  ","c","false","C7H11O8P","C7H11O8P","C03175","6057","17052"
"M_c3pshik_c","5-O-(1-Carboxyvinyl)-3-phosphoshikimate","  ","c","false","C10H13O10P","C10H13O10P","C01269","4488","16257"
"M_chor_c","Chorismate","  ","c","false","C10H10O6","C10H10O6","C00251","3550","17333"
"M_prephte_c","prephenate","  ","c","false","C10H10O6","C10H10O6","C00254","3553","16666"
"M_hyppyr_c","4-Hydroxyphenylpyruvate","  ","c","false","C9H8O4","C9H8O4","C01179","4406","15999"
"M_phnypyr_c","phenylpyruvate","  ","c","false","C9H8O3","C9H8O3","C00166","3466","30851"
"M_phnypyr_p","phenylpyruvate","  ","p","false","C9H8O3","C9H8O3","C00166","3466","30851"
"M_phnyala_p","phenylalanine","  ","p","false","C9H11NO2","C9H11NO2","C00079","3379","17295"
"M_phnypyr_m","phenylpyruvate","  ","m","false","C9H8O3","C9H8O3","C00166","3466","30851"
"M_phnyala_m","phenylalanine","  ","m","false","C9H11NO2","C9H11NO2","C00079","3379","17295"
"M_phnyala_c","phenylalanine","  ","c","false","C9H11NO2","C9H11NO2","C00079","3379","17295"
"M_hyppyr_m","4-Hydroxyphenylpyruvate","  ","m","false","C9H8O4","C9H8O4","C01179","4406","15999"
"M_tyr_m","tyrosine","  ","m","false","C9H11NO3","C9H11NO3","C00082","3382","17895"
"M_tyr_c","tyrosine","  ","c","false","C9H11NO3","C9H11NO3","C00082","3382","17895"
"M_tyr_p","tyrosine","  ","p","false","C9H11NO3","C9H11NO3","C00082","3382","17895"
"M_hyppyr_p","4-Hydroxyphenylpyruvate","  ","p","false","C9H8O4","C9H8O4","C01179","4406","15999"
"M_thbt_c","tetrahydrobiopterin","  ","c","false"," "," ","c00272"," "," "
"M_hthbt_c","4a-Hydroxytetrahydrobiopterin","  ","c","false"," "," ","c15522"," "," "
"M_dhthbt_c","Dihydrobiopterin","  ","c","false"," "," ","c00268"," "," "
"M_anthr_c","anthranilate","  ","c","false","C7H7NO2","C7H7NO2","C00108","3408","30754"
"M_n5pra_c","N-(5-phospho-beta-D-riboyl)-anthranilate","  ","c","false","C12H16NO9P","C12H16NO9P","C04302","6961","7091"
"M_cdrp_c","1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate","  ","c","false"," "," ","c01302"," "," "
"M_phosphribatp_c","phosphoribosyl-ATP","  ","c","false","C15H25N5O20P4","C15H25N5O20P4","C02739","5699","18263"
"M_phosphribamp_c","phosphoribosyl-AMP","  ","c","false","C15H23N5O14P2","C15H23N5O14P2","C02741","5701","18374"
"M_phosphformp_c","phosphoribosyl-formimino-AICAR-P","  ","c","false","C15H25N5O15P2","C15H25N5O15P2","C04896","7447","18302"
"M_phosphribuformp_c","Phosphoribulosyl-formimino-AICAR-P","  ","c","false","C15H25N5O15P2","C15H25N5O15P2","C04916","7464","27735"
"M_deig3p_c","D-erythro-Imidazole-glycerol-3P","  ","c","false","C6H11N2O6P","C6H11N2O6P","C04666","7249","17805"
"M_aicar_c","aicar","  ","c","false"," "," ","c04677"," "," "
"M_imacetp_c","Imidazole-acetol-P","  ","c","false","C6H9N2O5P","C6H9N2O5P","C01267","4486","16426"
"M_lhisolp_c","L-histidinol-P","  ","c","false","C6H12N3O4P","C6H12N3O4P","C01100","4334","16996"
"M_histol_c","L-Histidinol","  ","c","false","C6H11N3O","C6H11N3O","C00860","4117","16255"
"M_his_c","Histidine","  ","c","false","C6H9N3O2","C6H9N3O2","C00135","3435","15971"
"M_succoa_c","Succinyl-CoA","  ","c","false","C25H40N7O19P3S","C25H40N7O19P3S","C00091","3391","15380"
"M_suc_p","Succinate","  ","p","false","C4H6O4","C4H6O4","C00042","3344","15741"
"M_rfdx_c","reduced ferredoxin","  ","c","false"," "," ","c00138","3438","17513"
"M_ofdx_c","oxidized ferredoxin","  ","c","false"," "," ","c00139","3439","17908"
"M_5mthf_c","5-methyltetrahydrofolate","  ","c","false","C20H25N7O6","C20H25N7O6","c00440"," "," "
"M_510mthf_c","5,10-Methenyl THF","  ","c","false","C20H22N7O6"," ","c00445"," "," "
"M_agal_c","UDP-alpha-D-galactose","  ","c","false"," "," ","c00052"," "," "
"M_mgdg_c","1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol","  ","c","false","C11H16O10R2","C11H16O10R2","C03692","6466","17615"
"M_mgdg_m","1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol","  ","m","false","C11H16O10R2","C11H16O10R2","C03692","6466","17615"
"M_agal_m","UDP-alpha-D-galactose","  ","m","false"," "," ","c00052"," "," "
"M_dgdg_m","digalactosyl-diacylglycerol","  ","m","false"," "," ","c06037"," "," "
"M_dgdg_c","digalactosyl-diacylglycerol","  ","c","false"," "," ","c06037"," "," "
"M_udpsq_c","UDP-6-sulfoquinovose","  ","c","false"," "," ","c11521"," "," "
"M_sqdg_c","sulfoquinovosyldiacylglycerol","  ","c","false"," "," ","c13508"," "," "
"M_udpglc_m","UDP-glucose","  ","m","false","C15H24N2O17P2","C15H24N2O17P2","C00029","3331","18066 52249"
"M_udpglc_c","UDP-glucose","  ","c","false","C15H24N2O17P2","C15H24N2O17P2","C00029","3331","18066 52249"
"M_udpglc_p","UDP-glucose","  ","p","false","C15H24N2O17P2","C15H24N2O17P2","C00029","3331","18066 52249"
"M_acylcoa_c","Acyl-CoA","  ","c","false","C22H35N7O17P3SR","C22H35N7O17P3SR","C00040","3342","17984"
"M_agpi_c","acylglycerone phosphate","  ","c","false"," "," ","c03372"," "," "
"M_agpi_m","acylglycerone phosphate","  ","m","false"," "," ","c03372"," "," "
"M_ag3pi_m","1-Acyl-sn-glycerol 3-phosphate","  ","m","false","C4H8O7PR","C4H8O7PR","C00681","3950","16975"
"M_acylcoa_m","Acyl-CoA","  ","m","false","C22H35N7O17P3SR","C22H35N7O17P3SR","C00040","3342","17984"
"M_dag3pi_m","1,2 Diacyl-sn-glycerol 3-phospate","  ","m","false","C5H7O8PR2","C5H7O8PR2","C00416","3706","16337"
"M_ag3pi_c","1-Acyl-sn-glycerol 3-phosphate","  ","c","false","C4H8O7PR","C4H8O7PR","C00681","3950","16975"
"M_dag3pi_c","1,2 Diacyl-sn-glycerol 3-phospate","  ","c","false","C5H7O8PR2","C5H7O8PR2","C00416","3706","16337"
"M_ch_c","choline","  ","c","false"," "," ","c00114"," "," "
"M_chp_c"," "," ","c","false"," "," "," "," "," "
"M_cdpch_c","CDP-choline","  ","c","false"," "," ","c00307"," "," "
"M_ppc_c","phosphatidycholine","  ","c","false"," "," ","c00157"," "," "
"M_pheth_c","phosphatidylethanolamine","  ","c","false"," "," ","c00350"," "," "
"M_etn_c","ethanolamine","  ","c","false"," "," ","c00189"," "," "
"M_cdpet_c","CDP-ethanolamine","  ","c","false"," "," ","c00570"," "," "
"M_cooh_p","carboxylate","  ","p","false","CO2R","CO2R","C00060","3360","35757"
"M_5pr_c","5-phospho-ribosylamine","  ","c","false","C5H12NO7P","C5H12NO7P","C03090","5988","37737"
"M_gar_c","Glycinamide ribonucleotide","  ","c","false"," "," ","c03838"," "," "
"M_fthf_c","10-Formyl-THF","  ","c","false","C20H23N7O7"," ","c00234"," "," "
"M_faicar_c","FAICAR","  ","c","false"," "," ","c04734"," "," "
"M_facid_c","Folinic acid","  ","c","false","C20H23N7O7"," ","c03479"," "," "
"M_dms_c","dimethylsulfide","  ","c","false"," "," ","c00580"," "," "
"M_tmsm_c","trimethyl sulfonium","  ","c","false"," "," ","c01008"," "," "
"M_dhntp_c","7,8-dihydroneopterin triphosphate","  ","c","false"," "," ","c04895"," "," "
"M_fnt_c","Formamidopyrimidine nucleoside triphosphate","  ","c","false"," "," ","c05922"," "," "
"M_dnt_c","2,5-Diaminopyrimidine nucleoside triphosphate","  ","c","false"," "," ","c05923"," "," "
"M_dao_c","2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine","  ","c","false"," "," ","c06148"," "," "
"M_dhn_c","7,8-dihydroneopterin ","  ","p","false"," "," ","c04874"," "," "
"M_dhnp_c","dihydroneopterin phosphate","  ","c","false"," "," ","c05925"," "," "
"M_hmdh_c","6-hydroxymethyl-7,8-dihydropterin","  ","c","false"," "," ","c01300"," "," "
"M_gald_c","D-Glyceraldehyde","  ","c","false","C3H6O3","C3H6O3","C00577","3856","17378"
"M_dhnpp_c","7,8-Dihydropterin pyrophosphate","  ","c","false"," "," ","c04807"," "," "
"M_adchor_c","4-amino-4-deoxychorismate","  ","c","false"," "," ","c11355"," "," "
"M_abee_c","4-aminobenzoate","  ","c","false"," "," ","c00568"," "," "
"M_dht_c","2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate","  ","c","false","C10H18N3O14P3","C10H18N3O14P3","c11039","13222","836"
"M_fthfglu_c","10-Formyl-THF-L-glutamate","  ","c","false"," "," ","c05928"," "," "
"M_sfglut_c","S-formylglutathione","  ","c","false"," "," ","c01031"," "," "
"M_ptht_c","6-pyruvoyl tetrahydropterin","  ","c","false"," "," ","c03684"," "," "
"M_pppi_c","pppi","  ","c","false"," "," ","c00536"," "," "
"M_dhbpt_c","dihydrobiopterin","  ","c","false"," "," ","c02953"," "," "
"M_shglut_c","S-hydroxymethylglutathione","  ","c","false"," "," ","c14180"," "," "
"M_for_c","formaldehyde","  ","c","false"," "," ","c00067"," "," "
"M_fgar_c","N-formyl-GAR","  ","c","false"," "," ","c04376"," "," "
"M_fgam_c","fgam","  ","c","false"," "," ","c04640"," "," "
"M_air_c","aminoimidazole ribotide","  ","c","false"," "," ","c03373"," "," "
"M_cair_c","5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate","  ","c","false"," "," ","c04751"," "," "
"M_saicar_c","SAICAR","  ","c","false"," "," ","c04823"," "," "
"M_dcdp_c","dCDP","  ","c","false","C9H15N3O10P2","C9H15N3O10P2","c00705","3972"," "
"M_dudp_c","dUDP","  ","c","false","C9H14N2O11P2"," ","C01346"," "," "
"M_dutp_c","dUTP","  ","c","false","C9H15N2O14P3"," ","C00460"," "," "
"M_dctp_c","dCTP","  ","c","false","C9H16N3O13P3"," ","C00458"," "," "
"M_adsucc_c","Adenylsuccinate","  ","c","false","C14H18N5O11P","C14H18N5O11P","C03794","6453","15919"
"M_damp_p","damp","  ","p","false"," "," ","c00360"," "," "
"M_dtdp_c","dtdp","  ","c","false"," "," ","c00363"," "," "
"M_dttp_c","dttp","  ","c","false"," "," ","c00459"," "," "
"M_carbasp_c","N-carbamoylaspartate","  ","c","false","C5H8N2O5","C5H8N2O5","C00438","3727","15859"
"M_dhydrrt_c","(S)-Dihydroorotate","  ","c","false","C5H6N2O4","C5H6N2O4","C00337","3630","17025"
"M_orot_c","orotate","  ","c","false","C5H4N2O4","C5H4N2O4","C00295","3589","16742"
"M_orot_p","orotate","  ","p","false","C5H4N2O4","C5H4N2O4","C00295","3589","16742"
"M_orot_m","orotate","  ","m","false","C5H4N2O4","C5H4N2O4","C00295","3589","16742"
"M_dhydrrt_p","(S)-Dihydroorotate","  ","p","false","C5H6N2O4","C5H6N2O4","C00337","3630","17025"
"M_fum_p","fumarate","  ","p","false","C4H4O4","C4H4O4","C00122","3422","18012"
"M_dhydrrt_m","(S)-Dihydroorotate","  ","m","false","C5H6N2O4","C5H6N2O4","C00337","3630","17025"
"M_quin_m","quinone","  ","m","false"," "," ","c15602"," "," "
"M_hquin_m","hydroquinone","  ","m","false"," "," ","c15603"," "," "
"M_quin_c","quinone","  ","c","false"," "," ","c15602"," "," "
"M_hquin_c","hydroquinone","  ","c","false"," "," ","c15603"," "," "
"M_orot5p_c","Orotidine 5'-phosphate","  ","c","false","C10H13N2O11P","C10H13N2O11P","C01103","4337","15842"
"M_ditp_c","dITP","  ","c","false"," "," "," "," "," "
"M_dimp_c","dimp","  ","c","false"," "," ","c06196"," "," "
"M_xtp_c"," "," ","c","false"," "," "," "," "," "
"M_13bdg_c","1,3-beta-D-Glucan","  ","c","false"," "," ","C00965","4216","37671"
"M_13bdgn1_c","1,3-beta-D-Glucan(n+1)","  ","c","false"," "," ","G10477(n+1)"," "," "
"M_13bdgn2_c","13bdgn2","  ","c","false"," "," "," "," "," "
"M_13bdgn3_c","13bdgn3","  ","c","false"," "," "," "," "," "
"M_13bdgn4_c","13bdgn4","  ","c","false"," "," "," "," "," "
"M_13bdgn5_c","13bdgn5","  ","c","false"," "," "," "," "," "
"M_chrys_c","chrysolaminaran","  ","c","false"," "," "," "," "," "
"M_rna_c","RNA","  ","c","false"," "," ","c00046","3348"," "
"M_aa_c","amino acid","  ","c","false"," "," ","c00151"," "," "
"M_lipid_c","lipid","  ","c","false"," "," "," "," "," "
"M_photon_u","photon","  ","u","false"," "," "," "," "," "
