"Metabolite Abbreviation","Metabolite Name","Charge","Compartment","Boundary Condition","Neutral metabolite formula","Charged metab. formula","KeggID","PubChem ID","CheBI ID"
"M_h2o_x","H2O","  ","x","false","H2O","H2O","C00001","3303","15377"
"M_h_x","H+","1","x","false","H","H","C00080","3380","15378"
"M_isocit_x","isocitrate","  ","x","false","C6H8O7","C6H8O7","C00311","3605","30887"
"M_suc_x","Succinate","  ","x","false","C4H6O4","C4H6O4","C00042","3344","15741"
"M_cit_x","Citrate","  ","x","false","C6H8O7","C6H8O7","C00158","3458","30769"
"M_hno3_c","nitrate","  ","c","false","HNO3","HNO3","C00244","3543","48107"
"M_imns_c","immunosuccinate","  ","c","false"," "," ","c05840"," "," "
"M_qt_c","quinolinate","  ","c","false"," "," ","c03722"," "," "
"M_qn_c"," "," ","c","false"," "," "," "," "," "
"M_prpp_c","PRPP (5-phosphoribosyl diphosphate)","  ","c","false","C5H13O14P3","C5H13O14P3","C00119","3419","17111"
"M_nrn_c","nicotinate ribonucleotide","  ","c","false"," "," ","c01185"," "," "
"M_nadn_c","nicotinate adenine dinucleotide","  ","c","false"," "," ","c00857"," "," "
"M_argsuc_c","L-Argininosuccinate","  ","c","false","C10H18N4O6","C10H18N4O6","C03406","6235","15682"
"M_urea_c","urea","  ","c","false","CH4N2O","CH4N2O","C00086","3386","16199"
"M_actylglutmt_p","n-acetyl-glutamate","  ","p","false","C7H11NO5","C7H11NO5","C00624","3897","17533 44337"
"M_actylglutmt_c","n-acetyl-glutamate","  ","c","false","C7H11NO5","C7H11NO5","C00624","3897","17533 44337"
"M_actylglutmt_m","n-acetyl-glutamate","  ","m","false","C7H11NO5","C7H11NO5","C00624","3897","17533 44337"
"M_actylglutmylp_c","n-acetyl-glutamyl-P","  ","c","false","C7H12NO8P","C7H12NO8P","C04133","6819","16878"
"M_actylgsem_c","N-Acetyl-glutamate-semialdehyde","  ","c","false","C7H11NO4","C7H11NO4","C01250","4470","16319 29123"
"M_actorn_c","N-Acetylornithine","  ","c","false","C7H14N2O3","C7H14N2O3","C00437","3726","16543"
"M_p5c_c","L-1-Pyrroline-5-carboxylate","  ","c","false","C5H7NO2","C5H7NO2","C03912","6642","371"
"M_glutmylp_c","L-glutamyl-P","  ","c","false","C5H10NO7P","C5H10NO7P","C03287","6144","17798"
"M_glu5_c","L-Glutamate-5-semialdehyde","  ","c","false","C5H9NO3","C5H9NO3","C01165","4392","17232"
"M_p5c_p","L-1-Pyrroline-5-carboxylate","  ","p","false","C5H7NO2","C5H7NO2","C03912","6642","371"
"M_glu5_p","L-Glutamate-5-semialdehyde","  ","p","false","C5H9NO3","C5H9NO3","C01165","4392","17232"
"M_put_c","putrescine","  ","c","false"," "," ","c00134"," "," "
"M_adsmeth_c","S-Adensylmethioninamine","  ","c","false","C14H23N6O3S","C14H23N6O3S","C01137","4368","15625"
"M_met5thad_c","S-Methyl-5'-thioadenosine","  ","c","false","C11H15N5O3S","C11H15N5O3S","C00170","3470","17509"
"M_sper_c","spermidine","  ","c","false"," "," ","c00315"," "," "
"M_sprn_c","spermine","  ","c","false"," "," "," "," "," "
"M_adenine_c","adenine","  ","c","false","C5H5N5","C5H5N5","c00147","3447","16708"
"M_mrib_c","5-Methylthio-D-ribose","  ","c","false"," "," ","c03089"," "," "
"M_mtr1p_c","S-methyl-5-thio-D-ribose-1-phosphate","  ","c","false","C6H13O7PS","C6H13O7PS","C04188","6864","27859"
"M_mtru1p_c","S-methyl-5-thio-D-ribulose-1-phosphate","  ","c","false","C6H13O7PS","C6H13O7PS","C04582","7183","28096"
"M_dm1p_c","2,3-diketo-5-methyl-thiopentyl-1-phosphate","  ","c","false","C6H11O6PS","C6H11O6PS","C15650","17396640","50604"
"M_dkmp_c","1,2-dihydroxy-3-keto-5-methylthiopentene","  ","c","false","C6H10O3S","C6H10O3S","C15606","17396598","49252"
"M_meth2o_c","4-Methylthio2-oxobutanoate","  ","c","false","C5H8O3S","C5H8O3S","C01180","4407","33574"
"M_met_c","Methionine","  ","c","false","C5H11NO2S","C5H11NO2S","C00073","3373","16643"
"M_meth2o_p","4-Methylthio2-oxobutanoate","  ","p","false","C5H8O3S","C5H8O3S","C01180","4407","33574"
"M_guans_c","guanosine","  ","c","false"," "," ","c00387"," "," "
"M_guan_c","guanine","  ","c","false"," "," ","c00242"," "," "
"M_g_c"," "," ","c","false"," "," "," "," "," "
"M_dr1p_c","2-Deoxy-D-ribose 1-phosphate","  ","c","false"," "," ","c00672"," "," "
"M_u_c"," "," ","c","false"," "," "," "," "," "
"M_urac_c","uracil","  ","c","false","C4H4N2O2","C4H4N2O2","c00106","3406","17568"
"M_a_c"," "," ","c","false"," "," "," "," "," "
"M_gmp_c","GMP","  ","c","false"," "," ","c00144"," "," "
"M_damp_c","damp","  ","c","false"," "," ","c00360"," "," "
"M_cyt_c","cytidine","  ","c","false"," "," ","c00475"," "," "
"M_ump_c","UMP","  ","c","false","C9H13N2O9P","C9H13N2O9P","C00105","3405","16695"
"M_urid_c","uridine","  ","c","false"," "," ","c00299"," "," "
"M_imp_c","inosinic acid","  ","c","false"," "," ","c00130"," "," "
"M_inos_c","inosine","  ","c","false"," "," ","c00294"," "," "
"M_thym_c","thymidine","  ","c","false"," "," ","c00214"," "," "
"M_dcmp_c","dCMP","  ","c","false","C9H14N3O7P","C9H14N3O7P","c00239","3538","15918"
"M_c_c"," "," ","c","false"," "," "," "," "," "
"M_dgmp_c","dgmp","  ","c","false"," "," ","c00362"," "," "
"M_aden_m","adenosine","  ","m","false","C10H13N5O4","C10H13N5O4","c00212","3512","16335"
"M_a_m"," "," ","m","false"," "," "," "," "," "
"M_damp_m","damp","  ","m","false"," "," ","c00360"," "," "
"M_cmp_m","CMP","  ","m","false","C9H14N3O8P","C9H14N3O8P","c00055","3357","17361"
"M_cyt_m","cytidine","  ","m","false"," "," ","c00475"," "," "
"M_ump_m","UMP","  ","m","false","C9H13N2O9P","C9H13N2O9P","C00105","3405","16695"
"M_urid_m","uridine","  ","m","false"," "," ","c00299"," "," "
"M_imp_m","inosinic acid","  ","m","false"," "," ","c00130"," "," "
"M_inos_m","inosine","  ","m","false"," "," ","c00294"," "," "
"M_gmp_m","GMP","  ","m","false"," "," ","c00144"," "," "
"M_guans_m","guanosine","  ","m","false"," "," ","c00387"," "," "
"M_thym_m","thymidine","  ","m","false"," "," ","c00214"," "," "
"M_dcmp_m","dCMP","  ","m","false","C9H14N3O7P","C9H14N3O7P","c00239","3538","15918"
